scenario_id,description,horizon_months,stockpile_json,capacity_json,earned_income_json,market_income_json,active_upkeep_json,budgets_json,queue_capacity_json,queue_used_json,slot_capacity_json,slot_used_json,job_capacity_json,job_used_json,influence,deficit_status_json,unlocked_resources,gates,pending_projects_json,parent_winner_verified,evidence_ref
rich_opening,Wealthy multi-opportunity checkpoint covering all lanes,24,"{""energy"":1000,""minerals"":1000,""alloys"":1000,""consumer_goods"":100,""exotic_gases"":20}","{""energy"":5000,""minerals"":5000,""alloys"":5000,""consumer_goods"":1000,""exotic_gases"":100}","{""energy"":100,""minerals"":100,""alloys"":100,""consumer_goods"":10,""exotic_gases"":5}",{},"{""energy"":20,""consumer_goods"":2,""exotic_gases"":1}","{""construction"":1000,""military"":1000,""diplomacy"":1000,""megastructure"":1000}","{""planetary"":3,""shipyard"":3,""constructor"":1,""starbase"":1,""megastructure"":1}",{},"{""building"":4,""district"":2}",{},"{""worker"":4,""specialist"":8,""soldier"":4}",{},200,"{""exotic_gases"":""false""}",exotic_gases,ordinary_state,[],true,report fixture rich opening empire
low_capacity_low_use,Tiny balanced strategic-resource economy,12,"{""minerals"":60,""exotic_gases"":0.05}","{""minerals"":1000,""exotic_gases"":0.10}","{""minerals"":60,""exotic_gases"":0.01}",{},"{""exotic_gases"":0.01}","{""construction"":1000}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""false""}",exotic_gases,ordinary_state,[],true,user low-capacity low-use edge case
research_gas_deficit,Research designation and real gas deficit can progress together,24,"{""energy"":100,""minerals"":120,""consumer_goods"":100,""exotic_gases"":0}","{""energy"":1000,""minerals"":2000,""consumer_goods"":1000,""exotic_gases"":100}","{""energy"":10,""minerals"":60,""consumer_goods"":10,""exotic_gases"":0}",{},"{""energy"":1,""consumer_goods"":1,""exotic_gases"":1}","{""construction"":1000}","{""planetary"":2}",{},"{""building"":2}",{},"{""specialist"":2}",{},0,"{""exotic_gases"":""true""}",exotic_gases,research_designation,[],true,report fixture research plus gas deficit
threat_strategic_deficit,Threatened empire retains defense fleet and bounded recovery,24,"{""energy"":100,""minerals"":100,""alloys"":200,""exotic_gases"":0}","{""energy"":1000,""minerals"":2000,""alloys"":2000,""exotic_gases"":100}","{""energy"":10,""minerals"":50,""alloys"":50,""exotic_gases"":0}",{},"{""energy"":1,""exotic_gases"":1}","{""construction"":500,""military"":500}","{""planetary"":1,""shipyard"":1,""starbase"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""true""}",exotic_gases,threat_active,[],true,report fixture threatened empire plus strategic deficit
influence_sharing,Claim and outpost opportunities share available influence,12,"{""alloys"":100}","{""alloys"":1000}","{""alloys"":20}",{}, {},"{""diplomacy"":500}","{""constructor"":1}",{}, {},{}, {},{},120,{},,legal_targets,[],true,report fixture claim plus outpost opportunity
habitat_non_veto,Existing uncolonized habitat does not veto a legal new habitat site,24,"{""alloys"":500}","{""alloys"":5000}","{""alloys"":50}",{}, {},"{""construction"":1000,""megastructure"":1000}","{""shipyard"":1,""megastructure"":1}",{}, {},{}, {},{},100,{},,uncolonized_habitat|legal_new_habitat_site,[],true,report habitat anti-spam defect fixture
no_legal_producer,Strategic deficit with no legal producer reports a legality blocker,12,"{""energy"":500,""exotic_gases"":0}","{""energy"":5000,""exotic_gases"":100}","{""energy"":50,""exotic_gases"":0}","{""exotic_gases"":1}","{""exotic_gases"":1}","{""construction"":500}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""true""}",exotic_gases,market_access,[],true,report no-legal-producer fixture
failed_c9_collateral,Failed c9 pressure consumes the shared research bottleneck,24,"{""minerals"":60,""exotic_gases"":0}","{""minerals"":1000,""exotic_gases"":1000}","{""minerals"":60,""exotic_gases"":0}",{},"{""exotic_gases"":0}","{""construction"":1000}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""false""}",exotic_gases,research_designation,[],true,c9da19b3 collateral-starvation regression fixture
research_motes_deficit,Research designation and real motes deficit can progress together,24,"{""energy"":100,""minerals"":120,""consumer_goods"":100,""volatile_motes"":0}","{""energy"":1000,""minerals"":2000,""consumer_goods"":1000,""volatile_motes"":100}","{""energy"":10,""minerals"":60,""consumer_goods"":10,""volatile_motes"":0}",{},"{""energy"":1,""consumer_goods"":1,""volatile_motes"":1}","{""construction"":1000}","{""planetary"":2}",{},"{""building"":2}",{},"{""specialist"":2}",{},0,"{""volatile_motes"":""true""}",volatile_motes,research_designation,[],true,strategic-resource family concurrency fixture
defense_crystals_deficit,Threatened defense and real crystal deficit can progress together,24,"{""energy"":100,""minerals"":120,""alloys"":200,""rare_crystals"":0}","{""energy"":1000,""minerals"":2000,""alloys"":2000,""rare_crystals"":100}","{""energy"":10,""minerals"":60,""alloys"":50,""rare_crystals"":0}",{},"{""energy"":1,""rare_crystals"":1}","{""construction"":500,""military"":500}","{""planetary"":1,""starbase"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""rare_crystals"":""true""}",rare_crystals,threat_active,[],true,strategic-resource family concurrency fixture
pending_gas_full_commitment,Timely full queued gas recovery suppresses duplicate pressure,24,"{""energy"":100,""minerals"":120,""exotic_gases"":12}","{""energy"":1000,""minerals"":2000,""exotic_gases"":100}","{""energy"":10,""minerals"":60,""exotic_gases"":0}",{},"{""energy"":1,""exotic_gases"":1}","{""construction"":1000}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""true""}",exotic_gases,ordinary_state,"[{""project_id"":""pending_gas_full"",""lane"":""strategic_producer"",""completes_at_month"":12,""completion_income"":{""exotic_gases"":1},""completion_upkeep"":{},""strategic_resource"":""exotic_gases""}]",true,pending full-commitment recovery fixture
pending_gas_fractional_commitment,Fractional queued gas recovery leaves bounded residual pressure,24,"{""energy"":100,""minerals"":120,""exotic_gases"":12}","{""energy"":1000,""minerals"":2000,""exotic_gases"":100}","{""energy"":10,""minerals"":60,""exotic_gases"":0}",{},"{""energy"":1,""exotic_gases"":1}","{""construction"":1000}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""true""}",exotic_gases,ordinary_state,"[{""project_id"":""pending_gas_fractional"",""lane"":""strategic_producer"",""completes_at_month"":12,""completion_income"":{""exotic_gases"":0.5},""completion_upkeep"":{},""strategic_resource"":""exotic_gases""}]",true,pending fractional-commitment recovery fixture
pending_gas_slow_commitment,Queued gas recovery beyond the horizon must not suppress near-term pressure,24,"{""energy"":100,""minerals"":120,""exotic_gases"":12}","{""energy"":1000,""minerals"":2000,""exotic_gases"":100}","{""energy"":10,""minerals"":60,""exotic_gases"":0}",{},"{""energy"":1,""exotic_gases"":1}","{""construction"":1000}","{""planetary"":1}",{},"{""building"":1}",{},"{""specialist"":1}",{},0,"{""exotic_gases"":""true""}",exotic_gases,ordinary_state,"[{""project_id"":""pending_gas_slow"",""lane"":""strategic_producer"",""completes_at_month"":36,""completion_income"":{""exotic_gases"":1},""completion_upkeep"":{},""strategic_resource"":""exotic_gases""}]",true,pending slow-commitment recovery fixture
pending_consumer_runway,Pending consumer upkeep must count against protected-lane runway,24,"{""energy"":10,""minerals"":120,""consumer_goods"":100}","{""energy"":10,""minerals"":2000,""consumer_goods"":1000}","{""energy"":10,""minerals"":60,""consumer_goods"":10}",{},"{""energy"":0,""consumer_goods"":1}","{""construction"":1000}","{""planetary"":2}",{},"{""building"":2}",{},"{""specialist"":2}",{},0,{},,research_designation,"[{""project_id"":""pending_energy_consumer"",""lane"":""research"",""completes_at_month"":12,""completion_income"":{},""completion_upkeep"":{""energy"":10.5},""strategic_resource"":""""}]",true,pending consumer-runway feasibility fixture
