question_id,priority_rank,topic,answered_research_result,claim_type,source_ids,action_for_ai_director,confidence
Q1,1,High-powered gameplay strategy,Experienced players recommend hard tech rush or early alloy/conquest snowball. Use 500-800 science + 100 alloys at year 50 as lower bound; use 2k+ science by 2240 and 3k+ by 2250 as high-powered target.,common player advice,S016;S017;S018;S019;S020;S021;S022;S023;S024,Route-lock tech/conquest/survival early; enforce conversion to alloys/shipyards/megas by 2275-2300.,medium-high
Q2,2,Gigas progression and crises,Progression is unlock research -> economy megas -> special resources -> construction throughput -> celestial ships -> crisis counters. Katzen=resistance/sabotage; Blokkats=knowledge/scrap/counterstructure/systemcraft; Aeternum=planetcraft/systemcraft/alloy throughput; Compound=event/research gate.,maintainer claim + common player advice,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015,Implement named Gigas and crisis-counter routes with resource gates.,medium-high
Q3,3,NSC3 + ESC NEXT + Spacefleet Tactica fleet design,"NSC3 owns ship classes/scale, ESC NEXT owns components, SFT owns behavior after NSC3 removed ASB. ESC reactors must be configured/disabled with NSC3 per collection guidance.",maintainer/collection claims + bug symptoms,S025;S026;S027;S028;S029;S030;S031;S032,Validate section/component/computer/reactor graph and then generate crisis-specific AI global designs.,high
Q4,4,AI use of high-powered mods,"AI-support claims exist, but public evidence does not prove full-stack mastery. Gigas/Stellar AI/StarNet/Yagisan claims are useful; stale NSC patches and Blokkat AI-failure anecdotes show route overrides and observer proof are needed.",mixed maintainer claims and negative findings,S001;S033;S034;S035;S036;S037;S038;S039;S040,Classify parent AI support and override missing/wrong-goal route pieces; benchmark observer runs.,medium
Q5,8,Console commands and testing,"Use Paradox Wiki plus in-game help. Core tools: debugtooltip, help, observe, human_ai, selected-scope effect, research commands, resources, deposits, events, create_megastructure, designer validation.",confirmed public reference,S060;S061;S062;S063;S064,Create disposable test scripts with local active-stack IDs and help-verified syntax.,high
Q6,9,Modding tools/resources,"Best free resources are Paradox Wiki, CWTools, CWTools Stellaris config, Irony, OldEnt generated docs, Steam/GitHub source/changelogs, save/log tools.",confirmed tool docs,S065;S066;S067;S068;S069;S070;S071;S072;S073;S074;S075;S076;S077;S078;S079;S080,"Use source order: vanilla/mod source + CWTools for syntax, Irony for conflicts, logs/saves for behavior.",high
Q7,5,Starbase/static defense,"Starbase Extended 3.0 is the primary defense candidate because it supports 4.**.*, Vanilla, NSC, and ACOT. Expanded Starbases conflicts with NSC. Planetary Cannons is stale/3.9-labeled. Eternal Vigilance Redux is optional for tested platform automation.",confirmed + negative finding,S041;S042;S043;S044;S045;S046,Use Starbase Extended route weights and avoid incompatible starbase-level mods.,high
Q8,7,Planetary Diversity and Guilli strategy,"PD and submods can add gameplay worlds/classes/districts/jobs/buildings/deposits; Guilli adds hundreds of modifiers and claims PD/Gigas compatibility. Prioritize planets by modifiers/deposits/jobs, not class names alone.",maintainer claims + wiki baseline,S054;S055;S056;S057;S058;S059,Build modifier/deposit role scoring for research/alloy/energy/mineral/rare/trade/growth/defense worlds.,medium-high
Q9,6,Modded resources and UI/resource visibility,URP displays custom strategic resources and has load-order sensitivity. UIOD/Extended Topbar/UIOD+Gigas/UIOD+PD solve expanded UI surfaces; missing visibility causes false resource and design diagnoses.,confirmed + user symptom evidence,S047;S048;S049;S050;S051;S052;S053,Treat UI/resource patches as required infrastructure and track special resources as first-class AI bottlenecks.,high
Q10,10,4.4.x and 4.5 hazards,4.4.5 is the stable baseline with Resource Abundance and Nomad/Arkship/Waystation fixes. 4.5 is a breaking pop/faction/ethic beta and must be a separate porting branch.,official/mirrored patch notes,S081;S082;S083;S084;S085,Freeze 4.4.5 branch; diff and port 4.5 separately.,high
