subsystem_id,scope,intended_behavior,director_artifacts,upstream_inputs,engine_consumer,consumer_authority,empire_archetypes,safety_gates,audit_status,known_gap,next_action,version_contract
data_pipeline,data,Current active-stack winners and normalized economic facts feed generated strategy.,research:stellar-ai-director-economic-valuation-2026-07-07.csv; research:stellar-ai-director-build-plan-consumer-policy-2026-07-09.csv,active playset; current winning PDXScript objects; benefit policy matrix,Director generator,director_internal,all,winner provenance; blocker accounting; consumer proof status,data_foundation,Canonical dataset handles and stale-source keys still need continuous validation.,"Audit winner selection, normalization, filters, and generated-source feedback on every regeneration.",4.4.5_forward|4.4.4_required_runtime
resource_survival,economy,"Repair energy, mineral, consumer-goods, food, and alloy deficits through earned income before discretionary growth.",mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt; mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt; research:stellar-ai-director-relative-economic-standards-2026-07-09.csv,vanilla deficit/monthly-income/fleet-power triggers; relative standards dataset,37 mutually exclusive colony/fleet repair subplans plus shared income-and-stockpile runway gates,source_proven,regular|machine|hive|individual_machine,resource-use gates; colony-scale headroom; fleet replacement burden; food reserve exception; market purchases cannot satisfy income gates,corrected_static,Runtime recovery speed and band calibration remain unproven for the current playtest.,"Measure deficit duration, research throttling, rebuild time, and recovery across archetypes and empire sizes.",4.4.5_forward|4.4.4_required_runtime
research_capacity,economy,Preserve consumer-goods runway and build research capacity only when support resources are safe.,mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt; mod:common/buildings/zzzz_staid_13_dataset_job_pressure_buildings.txt,research-capacity datasets; vanilla research-zone potential gates,economic plan plus building ai_resource_production,source_proven,regular|machine|hive|individual_machine,staid_research_construction_priority_ready; source potential/allow,corrected_static,"The exact engine score composition among coefficient, additive weight, and ai_resource_production still needs runtime proof.",Reconstruct candidate scoring and inspect research-world build choices in playtest saves.,4.4.5_forward|4.4.4_required_runtime
colony_construction,economy,Bias eligible buildings and districts by modeled output without inventing inactive building ai_weight control.,mod:common/buildings/zzzz_staid_13_dataset_job_pressure_buildings.txt; mod:common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt,economic valuation; consumer policy; source hard gates,building/district ai_resource_production,source_proven,all_supported_planet_owners,potential/allow preserved; military-capacity excluded,implemented_static_needs_runtime,Player Planetary Automation files are not proven AI-empire construction consumers.,Trace actual candidate selection and keep automation policy separate unless a call site is proven.,4.4.5_forward|4.4.4_required_runtime
colony_designation,economy,"Align construction pressure with research, forge, factory, mining, energy, food, unity, trade, and special-world roles.",research:stellar-ai-director-colony-role-targets-2026-07-09.csv; mod:common/colony_types/zzzzz_staid_15_fortress_economic_hard_gates.txt; mod:common/buildings/zzzzz_staid_14_pd_naval_capacity_hard_gates.txt,active colony types; role target dataset; vanilla bottleneck trigger,designation potential plus hard zone/building eligibility,source_proven,regular|machine|hive|special_worlds,fortress economy/colony-count/threat/topology readiness; research-world naval exclusion,corrected_static,"Fortress waste and non-bottleneck placement are hard-gated, but the remaining broad designation choice and special-world role selection are not yet reconstructed.","Audit every remaining colony type winner, selection weight, and role-specific eligible candidate set.",4.4.5_forward|4.4.4_required_runtime
budget_management,economy,"Reserve alloys, minerals, and strategic resources for viable construction and fleet pipelines.",mod:common/ai_budget/zzz_staid_alloys_budget.txt; mod:common/ai_budget/zzz_staid_gigas_resource_budgets.txt; mod:common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,vanilla and mod expenditure categories,ai_budget desired_min/desired_max/expenditure,source_proven,all,deficit gates; positive-alloy fleet gate; defensive emergency bypass; prerequisite readiness,corrected_static,The base ship and upgrade budgets now stop during unaffordable peacetime deficits; overlap with mod-specific expenditure categories still needs runtime audit.,"Test simultaneous fleet, planet, and megastructure demand across positive, deficit, and wartime emergency states.",4.4.5_forward|4.4.4_required_runtime
influence_market,economy,Spend capped influence on claims/expansion and limit Director market activity to cap-prevention overflow sales.,mod:events/zzz_staid_market_and_fleet_safety_events.txt; mod:common/script_values/zzz_staid_roi_values.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt,influence pressure; vanilla market_resource_price; resource_stockpile_percent; Gigas Kugelblitz storage stages,claim ai_weight plus Director-owned 90%-of-cap overflow sale and storage-cap investment gate; no Director market-buy path,source_proven,regular|gestalt|subject,claim viability; no deficit; positive earned income; fixed reserve; 90% actual storage cap,corrected_static,Vanilla AI emergency buying and diplomatic trade composition remain engine-side; Director production gates require earned income as well as stockpile.,"Inventory enclave, subject/federation, irregular-event, liability-reduction, and diplomatic trade channels; observe whether emergency buying persists after repair income becomes available.",4.4.5_forward|4.4.4_required_runtime
territorial_expansion,grand_strategy,Recognize boxed-in empires and convert spatial constraint into expansion or conquest pressure.,mod:common/scripted_triggers/zzzz_staid_20_strategy_kernel_triggers.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt; mod:common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,border access; colony sites; claims; relative power,expansion budgets plus boxed-in claim expenditure,source_proven,regular|gestalt|pacifist|genocidal,available sites; claim legality; pacifist exclusion; influence reserve,partial_audit,"Boxed-in empires with fewer than five colonies now strongly fund legal claims, but no proven direct consumer chooses and starts the resulting war.","Trace a live boxed-in case from claim purchase through usable war goal, preparation, and declaration.",4.4.5_forward|4.4.4_required_runtime
war_selection,grand_strategy,"Choose legal, profitable, weak targets and escalate when peaceful expansion is exhausted.",mod:common/scripted_triggers/zzz_staid_threat_response_triggers.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt,relative power; claims; war goals; borders; threat,claim budget only; none proven for direct declaration,mixed,regular|genocidal|raider|pacifist,war legality; fleet/economic readiness; target value,gap_identified,"The claim/CB prerequisite receives boxed-in urgency, but Director still does not directly rank targets or declare ordinary expansion wars.","Audit personalities, diplomatic actions, casus belli, war goals, and the hardcoded declaration chain before any forced-war implementation.",4.4.5_forward|4.4.4_required_runtime
diplomacy_personality,grand_strategy,"Adapt aggression, cooperation, rivalry, and pact behavior to ethics, power, and strategic need.",mod:common/policies/zzzz_staid_10_opening_growth_policies.txt,vanilla personalities and diplomatic action weights,diplomatic stance policy only,mixed,all,ethics; genocidal legality; subject status,gap_identified,Personality and diplomatic-action objects remain intentionally unmodified and therefore cannot realize several Director pressures.,"Reconstruct active personality and diplomatic-action winners, then patch only source-proven bottlenecks.",4.4.5_forward|4.4.4_required_runtime
