folder_path,object_type,current_scope,merge_behavior,ai_fields,common_blocks,conflict_risk,validation_method,common_mistakes,example_anchor
common/scripted_triggers/*.txt,scripted trigger,Caller-defined; executes in caller scope unless it changes scope internally,Top-level trigger IDs additive; duplicate ID last-winner/full replacement risk,Indirect: used by ai_weight/plans/events,trigger logic; owner/from/solar_system/any/every/random scope changes,Medium,rg trigger ID; CWTools scope check at call sites,Undocumented expected scope; generic helper names; unsupported triggers,examples/scripted_trigger.txt
common/scripted_effects/*.txt,scripted effect,Caller-defined; effect context from caller,Top-level effect IDs additive; duplicate ID last-winner/full replacement risk,Indirect; avoid direct AI construction hacks,effects; if/else; every/random/while; saved targets,High,rg effect ID; CWTools effect/scope; runtime log if invoked,Destructive effects in wrong scope; trigger syntax in effect context,open_questions.md
common/scripted_values/*.txt,scripted value,Caller-defined; often country/planet/system depending use site,Top-level IDs additive; duplicate full override,"Frequently used by AI weights, budgets, triggers",base; modifier; arithmetic/value expressions,Medium-high,rg use sites; CWTools; compare resolved uses,Changing global value instead of adding mod-prefixed value,ai_modding_reference.md
common/technology/*.txt,technology,weight_modifier and ai_weight: country (`this/root` country per CWTools),New IDs additive; same ID full-object override/last winner,weight_modifier; ai_weight; ai_update_type if present locally,area; tier; category; prerequisites; cost; weight; potential; ai_weight,High,rg tech ID; prereq/category/tier audit; CWTools; launch log if allowed,Partial same-ID tech; wrong scope; missing loc/icons,examples/technology_weight.txt
common/technology/tier/*.txt,technology tier/category support,Weight modifiers are country scope per CWTools,Top-level IDs additive; duplicate full override,weight_modifier,tier/category rules; modifier rules,Medium-high,CWTools; compare vanilla tier files,Unreachable tech tiers; tier gaps; crashy tech tree,stellaris_modding_guide.md
common/buildings/*.txt,planet building,Planet scope for body/ai_weight per CWTools; country via owner,New IDs additive; duplicate full-object override/last winner,ai_weight; ai_resource_production; ai_estimate_without_unemployment; resources category,potential; allow; resources; planet_modifier; triggered_planet_modifier; ai_weight,High,rg building ID; CWTools scope; loc/icon/job/economic-category audit,Country triggers directly in planet scope; no production signal,examples/district_building_construction_pressure.txt
common/districts/*.txt,planet district,Planet scope for potential/allow/ai_weight/ai_resource_production per CWTools,New IDs additive; duplicate full override,ai_weight; ai_resource_production; additional_ai_weight; ai_weight_coefficient,potential; allow; resources; planet_modifier; zone_slots; district_set,High,CWTools; zone-slot audit; rg district ID,Missing zone slots; owner-scope mistakes; obsolete 3.x assumptions,examples/district_building_construction_pressure.txt
common/zones/*.txt,planet zone / zone slot,Planet scope for potential/unlock and ai_resource_production per CWTools,New IDs additive; duplicate full override,ai_resource_production; indirect construction pressure,potential; unlock; resources; planet_modifier; triggered modifiers; slots,High,CWTools; missing zone-slot log audit; compare local 4.4.4 examples,Zone-slot IDs not defined; country triggers without owner,examples/district_building_construction_pressure.txt
common/pop_jobs/*.txt,pop job,"Varies by child block: pop/pop_group, planet, country, system per CWTools comments",New job IDs additive; duplicate full override,Indirect: job weights/resources/economic categories,resources; category; possible; weight; pop/country/planet/system modifiers,High,CWTools exact block scope; resource category; loc/icon; runtime if allowed,Country logic in pop scope; bad resource categories; unlocalized generated modifiers,scope_atlas.md
common/pop_categories/*.txt,pop category,Pop/pop_group-oriented; exact fields local-schema dependent,IDs additive; duplicate full override,Indirect via strata/job/economy,rank; demotion_time; modifiers; resources; weight,Medium-high,CWTools; compare vanilla full object,Outdated full overrides; loc/icon assumptions,open_questions.md
common/economic_categories/*.txt,economic category,Definition context; triggered subset scope depends on assigned resource block per wiki,IDs additive; duplicate full override,use_for_ai_budget; ai_use_parent_for_resources_upkeep; generated modifiers,parent; generate_add_modifiers; triggered_cost/produces/upkeep_modifier,Very high,CWTools; generated modifier audit; effects.log if runtime allowed,Category without budget support; duplicate category; missing generated loc,ai_modding_reference.md
common/ai_budget/*.txt,AI budget entry,Country/economic AI context; exact keys/scopes local 4.4.4 required,Top-level entries additive/override; global AI economy impact,resource; type; category; potential; fraction; static_min/static_max in historic examples only,potential; fraction/weight; min/max caps; resource/category refs,Very high,Local source diff; active AI mod parent check; runtime economy proof,Spending boosts without income goals; outdated AI budget copies,examples/ai_budget.txt
common/economic_plans/*.txt,AI economic plan,Country AI planning context; exact syntax local 4.4.4 required,Plan IDs/objects additive/override; interlocked by stage/country type,goals; weights; scripted triggers/values; resource priorities,potential/weight/goal sections as local schema allows,Very high,Do not edit without local source proof; compare active AI mod plans,ai_weight patch when plan is blocker; over-gating AI plans,examples/economic_plan.txt
common/ai_resource_production/*.txt,AI resource production mapping,AI economy context; verify local scope,IDs additive/override,Resource valuation; interacts with object ai_resource_production,resource target/production mappings; triggers/weights as schema allows,High,CWTools/local schema; rg referenced IDs,Object weights without production signal; mismatched resource category,ai_modding_reference.md
common/ai_planet_specialization/*.txt,AI planet specialization,Planet/country planning context; exact field scopes local,IDs additive; duplicate full override,Specialization weights/goals/allowed build preferences,potential; weight; designation/building/district preferences,High,rg specialization ID; CWTools; compare designations; runtime if allowed,Weighting building that specialization never wants,ai_modding_reference.md
common/personalities/*.txt,AI personality,Country/personality selection context; verify local fields,New IDs additive; duplicate full override,aggressiveness; bravery; trade; military/colony spending; ship preferences,weight; behavior; allow; ethic/civic/government triggers,High,CWTools; compare vanilla personalities; runtime war/diplomacy proof,Global aggression without economy readiness; wrong country triggers,ai_modding_reference.md
common/defines/*.txt,defines/constants,No script scope; key-value constants,Namespace/key last-winner; file/load-order sensitive,Many AI constants for war/claims/economy/fleet depending current defines,NGameplay/NDefines-style namespaces/constants,Very high,Compare final winning key; tiny changes; runtime required,Overusing declaration distance/aggression; stale full define files,ai_modding_reference.md
common/starbase_buildings/*.txt,starbase building,Starbase scope with `from = country` per CWTools top-level comments,New IDs additive; duplicate full override,ai_weight; ai_build_at_chokepoint; ai_build_outside_chokepoint,potential; possible; resources; station_modifier; triggered modifiers; on_finished,High,CWTools; verify from country; icon/loc/component refs; conflict matrix,Country triggers directly in starbase scope; full file overwrite,examples/starbase_module_building_weight.txt
common/starbase_modules/*.txt,starbase module,Starbase scope with `from = country` per CWTools top-level comments,New IDs additive; duplicate full override,ai_weight; ai_build_at_chokepoint; ai_build_outside_chokepoint,section; component_set; resources; potential; possible; station/ship modifiers,High,CWTools; section/component refs; conflict matrix,Wrong component_set/section; unsupported ai_weight nesting,examples/starbase_module_building_weight.txt
common/starbase_levels/*.txt,starbase level,Starbase scope with `from = country` for ai_weight per CWTools,IDs additive; duplicate full override,ai_weight; potential_home_base; level_weight indirect,ship_size; next_level; level_weight; ai_weight; upgrade_possible,High,CWTools; ship_size refs and upgrade chain,Breaking level chain; direct country triggers,examples/starbase_module_building_weight.txt
common/megastructures/*.txt,megastructure/orbital structure,"ai_weight: `this/root = system`, `from = country`, `fromfrom = megastructure` per CWTools",New IDs additive; duplicate full-object override/last winner,ai_weight; availability gates indirectly,entity; construction; resources; potential; possible; stages; build_time; on_complete,Very high,CWTools; rg ID; verify stages/DLC/resources; runtime if allowed,Country triggers in system scope; copying giant parent files,examples/megastructure_weight_country_scope.txt
common/ship_sizes/*.txt,ship size,Ship design/combat context; exact child scopes vary,New sizes additive; duplicate full override,AI design/fleet role fields if supported locally,section_slots; fleet_slot_size; prerequisites; resources; behavior refs,Very high,Source proof; rg ID; verify sections/components/designs,Breaking NSC3 classes; missing sections; outdated full overrides,open_questions.md
common/component_templates/*.txt,component template,Component object; modifier scopes vary by child block,New components additive; duplicate full override,ai_weight/ai_tags if supported; auto-design scoring indirect,size; type; icon; prerequisites; component_set; resources; modifiers,Very high,CWTools; component_set/sprite/loc audit; runtime designer if allowed,Invalid size/type; ESC/NSC set conflicts; missing icons,open_questions.md
common/section_templates/*.txt,section template,Ship design context; slots/reference scopes schema-dependent,New sections additive; duplicate full override,Auto-design eligibility indirect,ship_size; fits_on_slot; entity; component_slot; prerequisites,Very high,Source proof; rg section; verify ship sizes/components,Invalid slots; NSC3 breakage; missing locators/entities,open_questions.md
common/ship_behaviors/*.txt,ship behavior,"Combat behavior data, not country/planet scope",New behavior IDs additive; duplicate full override,Indirect through designs/components,preferred_attack_range; formation; collision/range values,High,Compare active behavior; runtime combat proof,Treating combat constants as strategic AI,open_questions.md
