define_name,file_path,vanilla_value,description_or_comment,controls,increase_effect,decrease_effect,zero_effect,interactions,large_galaxy_risks,confidence,source_reference
AI_AGGRESSIVENESS_LOW_MULT,common/defines/00_defines.txt,0.5,Low AI-aggressiveness game setting multiplier,Lower global aggression,Higher value makes low setting less peaceful,Lower value makes low setting more peaceful,0 could nearly suppress normal aggression,"AI_AGGRESSIVENESS_BASE, personality aggressiveness",Can over-pacify all AIs,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_AGGRESSIVENESS_HIGH_MULT,common/defines/00_defines.txt,2.0,High AI-aggressiveness game setting multiplier,Raises global aggression,Higher value more wars,Lower value less high-setting impact,0 would suppress high setting,AI_AGGRESSIVENESS_BASE,Too high causes constant wars/lag,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_AGGRESSIVENESS_BASE,common/defines/00_defines.txt,25,"Base chance AI will declare war, multiplied by personality aggressiveness",War desire baseline,Higher more war attempts,Lower fewer war attempts,0 likely suppresses normal war desire,personality aggressiveness; attitude/legal path,Too high causes overwar if CBs legal; too low passive galaxy,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_AGGRESSIVENESS_PROPAGATOR_BOXED_IN_MULT,common/defines/00_defines.txt,10,Warlike propagator personality boxed-in aggression multiplier,Boxed-in propagator aggression,Higher makes propagators explode when boxed,Lower softens boxed-in behavior,0 removes special behavior,behaviour.propagator; boxed-in state,Can punish cramped starts harshly,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_AGGRESSIVENESS_BOXED_IN_MULT,common/defines/00_defines.txt,4,Boxed-in aggression multiplier when no peaceful expansion,Expansion-pressure wars,Higher more breakout wars,Lower fewer breakout wars,0 removes boxed-in boost,peaceful expansion logic; personality aggression,High values increase early border wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_AGGRESSIVENESS_NO_COLONY_TARGET_MULT,common/defines/00_defines.txt,2,No immediate colony targets and >= MAX_PLANETS_FOR_BUDGET_FACTOR planets,Aggression when expansion slows,Higher more wars after colonization options dry up,Lower more peace,0 removes boost,colonization state; MAX_PLANETS_FOR_BUDGET_FACTOR,Large maps may delay wars if colonies plentiful,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
AI_WAR_PREPARATION_MIN_MONTHS,common/defines/00_defines.txt,12,Minimum time AI will prepare for war,War-prep pacing,Higher delays declarations,Lower faster declarations,0 allows immediate declaration if engine accepts,MAX months; fleet positioning,Too high gives targets warning/over-delays,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
AI_WAR_PREPARATION_MAX_MONTHS,common/defines/00_defines.txt,30,Maximum time AI will prepare for war,War-prep pacing,Higher longer prep window,Lower shorter window,0 may collapse prep behavior,MIN months,Too high causes long border posturing,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
WAR_DECLARATION_MAX_DISTANCE,common/defines/00_defines.txt,50,Max jumps before AI will not consider target for declaration,Candidate target range,Higher considers farther targets,Lower localizes wars,0 likely no distant candidates,claim distance; hyperlane topology,Too high causes unreachable wars in huge galaxies,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: war declaration distance/score defines, fileciteturn9file0L99-L103"
WAR_DECLARATION_MALUS_DISTANCE,common/defines/00_defines.txt,25,Jump distance where AI becomes less likely to declare,Distance score start,Higher delays malus; more far wars,Lower penalizes sooner,0 applies malus from first jump,MAX_DISTANCE; MALUS,Too low passive spacious galaxies,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: war declaration distance/score defines, fileciteturn9file0L99-L103"
WAR_DECLARATION_MALUS,common/defines/00_defines.txt,0.05,Malus per jump above malus distance,Distance score slope,Higher penalizes far targets harder,Lower allows farther wars,0 removes distance penalty after threshold,MINIMUM_SCORE,0 can create cross-galaxy wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: war declaration distance/score defines, fileciteturn9file0L99-L103"
WAR_DECLARATION_MINIMUM_SCORE,common/defines/00_defines.txt,0.5,Minimum score multiplier after distance applied,Candidate score floor,Higher filters more targets,Lower allows weaker candidates,0 effectively disables score floor,distance malus; target score,Too low creates poor wars; too high passive,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: war declaration distance/score defines, fileciteturn9file0L99-L103"
ENEMY_FLEET_POWER_MULT,common/defines/00_defines.txt,1.2,AI needs enemy fleet power times this to become offensive in offensive war,Offensive mission confidence,Higher more cautious,Lower more attacks,0 makes overaggressive if accepted,"fleet power, bravery, economy",Too high causes declared-but-idle wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
ENEMY_ARMY_POWER_MULT,common/defines/00_defines.txt,1.0,AI needs enemy army power times this to land armies,Invasion confidence,Higher fewer invasions,Lower more invasions,0 unsafe over-invasion,transport armies,Too high creates occupied-starbase/no-planet wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
ENEMY_FLEET_POWER_HOME_SYSTEM_MULT,common/defines/00_defines.txt,1.0,Fleet power multiplier to attack hostiles in own systems,Home defense confidence,Higher more cautious defense,Lower bolder defense,0 unsafe,"home systems, enemy fleet power",Too high lets enemies roam own space,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
OFFENSE_VS_DEFENSE_STRATEGY_ALLOTMENT,common/defines/00_defines.txt,1.0,How much fleet power a 1.0 aggressiveness country tries to commit to offense,Fleet assignment split,Higher more offensive allocation,Lower more defensive allocation,0 defensive-only tendency,personality aggressiveness,Too high leaves home undefended,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
MIN_FLEET_FOR_OPERATIONS,common/defines/00_defines.txt,500,Minimum fleet power assigned to operations like attacking targets,Fleet mission eligibility,Higher fewer small-fleet missions,Lower more early missions,0 all fleets eligible,fleet size/power,Too high stalls early wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
FLEET_COMBAT_INTERVENTION_MULT,common/defines/00_defines.txt,0.5,AI will not intervene unless intervention reaches this fraction of enemy fleet,Fleet intervention threshold,Higher less intervention,Lower more intervention,0 always intervene risk,ongoing battles,Too low feeds fleets into deathballs,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
ABORT_MISSION_LIMIT,common/defines/00_defines.txt,0.50,Military power fraction below which AI escapes battle,Mission abort/retreat,Higher more aborts,Lower fewer aborts,0 never aborts via this threshold,combat bravery/damage,Too high causes no attacks to stick,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
MAX_CLAIM_DISTANCE,common/defines/00_defines.txt,4,Max jumps away AI will make claims,Claim range,Higher more distant claims,Lower local claims only,0 adjacent/self only depending engine,WAR_DECLARATION_MAX_DISTANCE; claim costs,Too high claims unreachable systems,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
MAX_CLAIM_DISTANCE_SUBJECT,common/defines/00_defines.txt,2,Max jumps AI subjects will claim,Subject claim range,Higher subject claims farther,Lower subject claims local,0 suppresses subject claims,subject status,High values create messy overlord wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_BASE_VALUE,common/defines/00_defines.txt,100,Base claim target value,Claim scoring baseline,Higher more systems pass desire,Lower fewer claims,0 makes modifiers dominate,resource/colony/border factors,Too high influence overclaiming,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_RESOURCE_FACTOR,common/defines/00_defines.txt,2,Resource-rich system factor,Claim resource preference,Higher resource systems targeted,Lower less resource focus,0 ignores resources,system resources,High values claim remote rich systems,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_BYPASS_FACTOR,common/defines/00_defines.txt,10,Bypass factor,Claim bypass preference,Higher claims gateways/wormholes,Lower less bypass focus,0 ignores bypasses,bypass presence,High values strategic overreach,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_RELATIONS_FACTOR,common/defines/00_defines.txt,-0.1,Opinion/relations factor,Claim diplomacy sensitivity,More negative value avoids friendly targets more,Closer to 0 less relation penalty,0 ignores relations,opinion/attitude,0 can claim friends; high negative passive,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_COST_FACTOR,common/defines/00_defines.txt,-0.2,Claim cost factor; vanilla comment appears copy-pasted,Claim cost sensitivity,More negative avoids expensive claims,Closer to 0 ignores cost,0 no cost penalty,claim cost/influence,0 can bankrupt influence; too negative no claims,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_COLONY_FACTOR,common/defines/00_defines.txt,25,Colony factor,Claims on colonies,Higher prioritizes colonies,Lower less colony focus,0 ignores colony value,target colonies,Too high border gore/total target destruction,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
CLAIM_BORDERING_FACTOR,common/defines/00_defines.txt,100,Bordering system factor,Local claim preference,Higher contiguous claims,Lower less border focus,0 no border preference,owned borders,Low values remote claims; high local wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI claim scoring defines, fileciteturn9file0L49-L57"
WAR_ATTACK_CLAIM_PRIO,common/defines/00_defines.txt,1.5,Priority on attacking claimed systems,War target scoring,Higher pushes fleets to claims,Lower less claim focus,0 ignores claims in target score,"war started, claims exist",Too low wars fail to enforce claims,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
WAR_ATTACK_PLANET_PRIO,common/defines/00_defines.txt,2.0,Priority on enemy systems with planets,War target scoring,Higher attacks colonies,Lower less planet focus,0 ignores planets as attack priority,enemy planets,Too low no occupations; too high ignores fleets,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
WAR_ATTACK_STARBASE_PRIO,common/defines/00_defines.txt,4,Priority on enemy upgraded starbases,War target scoring,Higher targets starbases,Lower avoids starbases,0 ignores starbases,enemy starbases,Too high suicide into bastions,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
WAR_ATTACK_MILITARY_FLEET_PRIO,common/defines/00_defines.txt,5.0,Priority on enemy military fleets,War target scoring,Higher hunts fleets,Lower ignores fleets,0 no fleet-hunt priority,enemy fleets known,Too high chases endlessly,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
PEACE_STALE_WAR_STATUS_QUO_FACTOR,common/defines/00_defines.txt,75,Extra status quo acceptance in stale war,War ending if objectives fail,Higher ends stalemates faster,Lower prolongs stale wars,0 no extra stale acceptance,STALE_WAR_TIMER,Too low lingering wars reduce new wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: peace/stale-war factors, fileciteturn9file0L1-L13"
STALE_WAR_TIMER,common/defines/00_defines.txt,10,Number of failed objective searches to trigger stale war,Stalemate detection,Higher delays stale status quo,Lower ends wars faster,0 immediate stale if engine accepts,peace factors,Too high war exhaustion gridlock,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: peace/stale-war factors, fileciteturn9file0L1-L13"
NO_WARS_FLAG,common/defines/00_defines.txt,"""ai_no_wars""",Country flag disabling AI wars,Global AI war block,N/A string flag,N/A,"If set, AI will not war via normal AI",events/scripts,Accidentally setting creates passive galaxy,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: NO_WARS_FLAG/NO_LEAVE_FED_FLAG, fileciteturn9file0L59-L60"
DIPLO_ACTION_REPEAT_DELAY,common/defines/00_defines.txt,360,Days before AI repeats a proposal,Diplomatic spam cooldown,Higher slower proposal retries,Lower more spam/retries,0 constant retries risk,diplo actions,Can create performance/spam issues,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: diplomatic action cooldown/repeat defines, fileciteturn12file0L65-L72"
CRISIS_MILITARY_AGGRESSIVENESS,common/defines/00_defines.txt,2,"Aggressiveness of crisis empires, like personality value",Crisis aggression,Higher crisis attacks more,Lower crisis passive,0 passive crisis risk,crisis AI,Passive crisis in overhauled games,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI war preparation and war target defines, fileciteturn14file0L32-L58"
THREAT_PLANET_MULT,common/defines/00_defines.txt,8.0,Threat generated per conquered planet multiplier,Threat/opinion after conquest,Higher makes conquest more alarming,Lower reduces anti-conqueror reaction,0 removes planet threat contribution,personality threat_modifier; threat decay/distance,Low values make snowballing empires less opposed,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_STARBASE_MULT,common/defines/00_defines.txt,4.0,Threat generated per conquered starbase multiplier,Threat/opinion after conquest,Higher more threat from starbases,Lower less,0 removes starbase threat contribution,threat_modifier; shared threat,Low values reduce coalition pressure,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_SYSTEM_MULT,common/defines/00_defines.txt,2.0,Threat generated per conquered system multiplier,Threat/opinion after conquest,Higher more threat per system,Lower less,0 removes system threat contribution,threat size/distance factors,Low values enable passive neighbors after wars,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
