surface,classification,evidence,risk,next_action
opening_research_route,nomad_aware_targeted_support,"staid_opening_nomad_arkship_research is additive and requires is_nomadic=yes; basic_economy_plan references it","runtime priority cadence unproven","keep; verify during observer proof if a Nomad AI appears"
economic_plan,partial_nomad_support_normal_only_high_scale,"Director basic_economy_plan has one Nomad opening lane; many later pressure triggers require is_nomadic=no","does not replace full vanilla Nomad mineral/energy ladder","document as conservative compatibility"
technology_unlocks,nomad_aware_static_support,"generated technology file references tech_arkship_tier_3, tech_waystation_2, tech_waystation_3, is_waystation_starbase, and is_nomadic=yes equivalents","static reference-safe only","preserve"
megastructures,normal_waystation_safe_no_arkship_ownership,"generated megastructure objects preserve system_ownership_or_waystation_check; active Arkship/Waystation megastructure conflicts are Gigas-owned","Gigas active-stack behavior not proven by Director static audit","defer to runtime/final compatibility proof"
pd_outpost_decisions,arkship_excluded,"generated PD outpost decisions include NOT={ is_planet_class = pc_ark } for Arkship carriers","none found in static audit","preserve"
buildings_districts,source_preserving_no_colony_type_rewrite,"generated copies preserve parent nomadic switches/conditions; T25 adds two More Arcologies buildings only","live build cadence unproven","verify in final observer proof"
starbase_defense,normal_only,"generated starbase modules/buildings require is_nomadic=no; active Waystation section conflict is Starbase Extended-owned","no Director Waystation defense strategy","preserve normal-only guard"
war_fleet_fauna,normal_only,"generated threat/fleet/raiding/conquest/fauna gates use is_nomadic=no where colony/fleet assumptions could misfit Nomads","no Director Contract strategy","preserve conservative exclusion"
contracts_operational_reserves,not_directly_owned,"object definitions show vanilla contract on_actions and Nomad budget surfaces; generated conflicts have no Director Contract or Operational Reserve object","runtime behavior unproven","no patch in T26"
colony_types_designations,not_directly_owned,"generated file audit has no colony_types file; vanilla owns col_nomad_* designations and zone_ark_waystation_trade automation","compatibility by noninterference only","preserve no broad rewrite"
