object_id,object_type,route_id,priority_band,timing,empire_context,prereq_state,desired_action,weight_formula,safety_gates,parent_ai_strategy,source_file,notes
building_giga_matrioshka_brain_uplink,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,reuse,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_complete
building_giga_matrioshka_brain_uplink_amalgamation,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_anti_deviancy,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_diplomacy,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_entertainment,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_factory,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_foundry,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_hell,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_livestock,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_refinery,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
building_giga_matrioshka_brain_uplink_research,building,apex_site_preservation_core,high,midgame,high_scale_supported_playset,see_dependency_edges,observe,,no_core_deficit;route_prerequisites_resolved,override,common/buildings/giga_matrioshka_brain_uplinks.txt,flavor_low_impact with parent_ai_absent
