surface,file_path,key_or_object,default_value,controls,increase_effect,decrease_effect,zero_or_missing_effect,prerequisites,consumed_by,interactions,failure_modes,modding_risk,confidence,source_reference
personality,common/personalities/00_personalities.txt,aggressiveness,"1.0 norm if missing; examples 1.75 honorbound, 1.25 zealot, 0.75 erudite","war declaration chance, insult chance, offensive fleet allotment",More war/insult attempts and more fleet power committed to offense,Fewer declarations and more defensive posture,0 still commits ~50% fleet power to offense per comment; declaration desire likely near zero. Missing defaults to norm per wiki.,Legal CB/wargoal/target still required,AI war desire and military strategy,AI_AGGRESSIVENESS_BASE; boxed-in/no-colony multipliers; bravery; distance score,High aggression with no claims/CB yields passive AI,Medium: safe but often overestimated,confirmed-public-mirror plus inference for zero declaration,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
personality,common/personalities/00_personalities.txt,bravery,"1.0 norm; examples 1.5 honorbound, 1.0 zealot, 0.75 erudite",rival and war target strength tolerance,Considers stronger targets,Picks weaker targets and avoids peer wars,Very cautious; wiki says <=0.5 cannot war Equivalent. Missing defaults to norm.,Target must still be legal and score high enough,AI target selection/rivalry,relative_power; fleet economy; declaration score,Fleeted AI avoids equivalent/superior targets,Medium,confirmed-public-mirror; thresholds older wiki 4.2,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Paradox Wiki AI personalities page, verified for PC 4.2, behavior modifier descriptions and bravery thresholds, citeturn509366view0"
personality,common/personalities/00_personalities.txt,combat_bravery,"examples 2.0 honorbound, 1.0 zealot/erudite",combat retreat behavior,Fewer retreats; more decisive battles,More retreats and repairs,Low values likely retreat early; missing norm not explicitly in script comment,War already started and fleet engaged,combat/military AI,damaged thresholds; ship design; admiral traits,Declared wars stall due to retreat/repair loops,Medium,wiki plus vanilla examples,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: honorbound/zealot/explorer examples, fileciteturn17file0L57-L85, fileciteturn17file0L127-L155, fileciteturn17file0L219-L247; Paradox Wiki AI personalities page, verified for PC 4.2, behavior modifier descriptions and bravery thresholds, citeturn509366view0"
personality,common/personalities/00_personalities.txt,military_spending,"1.0 norm; examples 1.2 honorbound, 1.1 zealot, 0.9 erudite",mineral/energy budget to navies and armies,More ships/armies if economy supports,Lower navy/army readiness,0 risks no military budget; missing norm,Alloy/energy/naval cap/shipyard economy,AI budgeting and construction,fleet confidence; naval cap; upkeep,AI wants war but lacks fleet power,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: honorbound/zealot/explorer examples, fileciteturn17file0L57-L85, fileciteturn17file0L127-L155, fileciteturn17file0L219-L247"
personality,common/personalities/00_personalities.txt,claims_modifier,"1.0 norm; examples 2.0 honorbound, 1.5 zealot, 1.0 erudite",opinion penalty from claims,Claims create more diplomatic anger,Claims create less anger,0 suppresses claim opinion penalty; missing norm,Claims exist,opinion/attitude systems,friction/threat/relations; rivalry,Mistakenly tuned expecting more claims,Low if understood; high if misused,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50"
personality,common/personalities/00_personalities.txt,threat_modifier,"examples 0.75 honorbound, 0.9 zealot, 1.2 erudite",threat concern/opinion from conquest,More reaction to threats,Less threat reaction,0 suppresses this concern; missing norm,Threat generated by wars/conquest,opinion/attitude and diplomacy,THREAT_* defines; shared threat; pacts,All empires remain friendly despite conquest,Low,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat defines, fileciteturn12file0L37-L55"
personality,common/personalities/00_personalities.txt,friction_modifier,"examples 1.0 honorbound, 1.2 zealot, 0.5 erudite",border friction opinion,More hostile border relations,Friendlier borders,0 removes border friction for personality; missing norm,Borders/contact,opinion/attitude,claims_modifier; threat; rivalry,Neighbors never become negative enough for aggression loop,Low,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50"
personality,common/personalities/00_personalities.txt,behaviour.conqueror,yes in honorbound/zealot/erudite examples,conquest-oriented personality behavior,Supports unrestricted wars policy and conquest behavior,Less conquest path pressure,No conqueror behavior,Active personality,policy AI weights and hardcoded personality behavior,unrestricted_wars AI_weight; claims/CBs,Warlike personality picks non-war policy,Medium spelling/load-order risk,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154"
personality,common/personalities/00_personalities.txt,behaviour.subjugator,yes in honorbound/erudite examples,subjugation-oriented behavior,Supports subjugation policy/wargoal choices,Less subjugation,No subjugator behavior,cb_subjugation relative power and target independence,policy/wargoal AI logic,"wg_subjugation, wg_tribute; relative_power",AI never picks subject path despite strength,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: plunder/subjugation/ideology wargoals, fileciteturn25file0L189-L258, fileciteturn26file0L135-L202, fileciteturn28file0L240-L298"
personality,common/personalities/00_personalities.txt,behaviour.liberator,no in cited examples,liberation/ideology preference,More support for liberation_wars policy,Less ideology war behavior,No liberator behavior,"non-gestalt, ethics mismatch, liberation_wars",policy AI weights and ideology war path,cb_ideology; wg_force_ideology,No ideology wars despite policy availability,Low-medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154"
personality,common/personalities/00_personalities.txt,behaviour.opportunist,yes in zealot/erudite examples; no in honorbound,preference for targets already at war,More opportunistic attacks,Less dogpiling,No opportunist preference,Legal target already at war,target scoring/hardcoded AI behavior,bravery; distance; fleet power,AI ignores vulnerable enemies,Low,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: honorbound/zealot/explorer examples, fileciteturn17file0L57-L85, fileciteturn17file0L127-L155, fileciteturn17file0L219-L247"
personality,common/personalities/00_personalities.txt,behaviour.propagator,no in cited examples,boxed-in warlike behavior,Boxed-in aggressiveness multiplier applies when flagged and condition met,No special boxed-in aggression,No propagator multiplier,AI is boxed in/no peaceful expansion path,AI aggression define logic,AI_AGGRESSIVENESS_PROPAGATOR_BOXED_IN_MULT=10,AI stays passive when boxed in,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: AI aggression defines, fileciteturn12file0L56-L61"
personality,common/personalities/00_personalities.txt,weapon_preferences / armor_ratio / shields_ratio / hull_ratio,honorbound strike craft 0.4/0.4/0.2; erudite energy 0.3/0.7/0.0,ship auto-design preference,More of selected defense/weapon mix,Less selected defense,0 ratio means none targeted for that layer; missing uses defaults,Valid components and ship sizes,ship designer/combat AI,fleet power; enemy adaptation; upkeep,AI builds invalid/weak fleets and avoids attacks,Medium-high if component mods change roles,confirmed-public-mirror plus wiki for adaptation,"Public mirror HildoYe/game_files@e6d531, common/personalities/00_personalities.txt: behavior/modifier comments, fileciteturn17file0L3-L50; Paradox Wiki AI personalities page, verified for PC 4.2, behavior modifier descriptions and bravery thresholds, citeturn509366view0"
policy,common/policies/00_policies.txt,war_philosophy/unrestricted_wars,policy option,claim legality and normal conquest/subjugation stance,More normal war/claim access; AI weight boosted for conqueror/subjugator/purger,Less conquest access,No unrestricted policy flag; many claims fail,ethics/civics valid; not at war to change,can_add_claim; CB and wargoal triggers,rules of war resolutions; ap_become_the_crisis,Aggressive AI stuck with no legal conquest,High if overwritten,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154; Public mirror HildoYe/game_files@e6d531, common/game_rules/00_rules.txt: can_add_claim rules and hardcoded caveat, fileciteturn49file0L3-L7 and fileciteturn49file0L29-L135"
policy,common/policies/00_policies.txt,war_philosophy/liberation_wars,policy option,ideology CB path,Enables ideology wars and refreshes cb_ideology,Removes ideology path,No cb_ideology from policy,"non-gestalt, not fanatic purifier/fanatic pacifist",cb_ideology; wg_force_ideology,ethics mismatch; no total-war CB,Liberator AI cannot declare ideology wars,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154; Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: cb_claim/cb_subjugation/cb_humiliation/cb_ideology, fileciteturn22file0L14-L184"
policy,common/policies/00_policies.txt,war_philosophy/no_wars,policy option,pacifist no-war stance,More passive empires,More normal war access,No no_wars flag,valid excludes fanatic militarist/genocidal/crusader,policy flags and game rules,fanatic pacifist AI weight,Galaxy passive if too many empires weighted into no_wars,High if policy weights changed broadly,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154"
