mod,source URL,retrieved date,guidance type,exact relevance,confidence,caveats
Gigastructural Engineering & More (4.4),https://steamcommunity.com/sharedfiles/filedetails/?id=1121692237,2026-07-08,Compatibility; AI-use; patching,"4.4 page lists compatibility patches. Maintainer text says improved AI uses megastructures, notes habitable_structure scripted_trigger overwrite, warns new-resource mods may need topbar/resource patches, and says vanilla mega definitions are overwritten for limits.",High for public guidance; Medium for active-stack impact.,Not an exact zone/economic-plan schema guide; comments disabled.
NSC3,https://steamcommunity.com/workshop/filedetails/?id=683230077,2026-07-08,4.4 ship surfaces; compatibility,"4.4 notes say NSC3 moved ship classes to nsc_ship_sizes but still overwrites vanilla 00_ship_sizes, added is_nsc_activated, recommends Spacefleet Tactica, and fixed a bioship design missing combat computer.",High,Exact conflicts require local graph/load-order validation.
NSC3 troubleshooting/load-order guide,https://steamcommunity.com/workshop/filedetails/discussion/683230077/759555096795282832/,2026-07-08,Load order; runtime validation; triage,"Test only NSC3+UIOD, start new game, run research_all_technologies; bad load order symptoms include missing ship sections/classes, wrong starbase slots, and SAVEFAIL empty component spot; broad load order ends with UI patches and universal patches.",High,"Necessary smoke test, not exhaustive for 120 mods."
ESC NEXT,https://steamcommunity.com/sharedfiles/filedetails/?id=2648658105,2026-07-08,Load order; NSC3 compatibility; AI-use; patching,"Built-in NSC3 compatibility; must load before NSC3. Add-ons touch component progression, global ship designs, and weapon types. FAQ says AI can use new components and only several vanilla icons are overwritten.",High,Still validate active component templates/sets/combat computers/global designs.
ESC NEXT public repo,https://github.com/corsairmarks/Extra-Ship-Components-Next,2026-07-08,Config source availability,Public repo exposes common/interface/descriptor tree for direct static diffing of ESC surfaces.,Medium-High,Steam build may require commit mapping.
Spacefleet Tactica,https://steamcommunity.com/sharedfiles/filedetails/?id=3696204283,2026-07-08,Ship behavior AI; sections; NSC/ESC/Giga load order,"Changes ship behavior AI, adds sections, improves design AI, AI uses sections. Compatible mods above SFT, add-ons directly below, NSC users should use add-on disabling SFT ship sections.",High,Monitor 4.5 beta comments separately; validate current 4.4 build.
Planetary Diversity,https://steamcommunity.com/sharedfiles/filedetails/?id=819148835,2026-07-08,4.4 support; planet generation/vanilla replacement,"Supports Stellaris 4.4.*, lists PD modules, says it changes existing planets by events after game start and does not add more planets.",High for public guidance; Medium for zone details.,Public page does not enumerate zones/zone_slots/district edits.
Planetary Diversity - Planet View,https://steamcommunity.com/sharedfiles/filedetails/?id=1866576239,2026-07-08,UI compatibility; building-slot expectations,"Standalone, no additional building slots; recommends UIOD for different UI/more slots; not compatible with UIOD or other planet-view mods.",High,"UI/view guidance, not direct schema."
UI Overhaul Dynamic,https://steamcommunity.com/workshop/filedetails/?id=1623423360,2026-07-08,UI/load order/patches,"Supports 4.4, links compatibility patches, ship designer has space for more sections, and UIOD should usually be last/bottom unless patch-specific instructions differ.",High,Affects visibility rather than CWT schema.
Universal Resource Patch,https://steamcommunity.com/sharedfiles/filedetails/?id=1595876588,2026-07-08,Resource topbar patching; Irony workflow,"Displays added strategic resources, updated for 4.*.*, move bottom if trouble; maintainer comments recommend Irony and watching interface/resource_groups conflicts.",High,"Topbar/resource UI patch, not economic category schema validator."
Universal Modifier Patch (4.4.*),https://steamcommunity.com/workshop/filedetails/?id=1688887083,2026-07-08,Economy-category/modifier patching,"Restores missing modifiers through economy categories for 4.4.*, required by Expanded Starbases, and says no vanilla file is overwritten.",High,Separate from Universal Resource Patch but relevant to Starbase/Expanded Starbases.
Starbase Extended / Expanded Starbases (nearest public source found),https://steamcommunity.com/sharedfiles/filedetails/?id=1359700418,2026-07-08,Starbase levels; required patches; ship-size compatibility,"Requires UMP, UIOD, and Expanded Mods Base; says incompatible with NSC or mods modifying the starbase ship size file.",Medium,Exact active “Starbase Extended” identity was not verified; confirm local workshop ID.
Stellar AI,https://steamcommunity.com/workshop/filedetails/?id=3610149307,2026-07-08,AI-use; economic_plan/ai_budget/zone/colony load order,Built on current 4.4 definitions; shared buildings/jobs/zones/colony types/personalities/economic plans/strategic resources/AI budgets retain current 4.4 mechanics. Place near bottom unless another overlapping mod should win; incompatible with AI overhauls or same-definition replacements.,High,Workshop guidance; exact stack effect requires final winner diff.
