source_title,url,publisher_or_author,access_date,stellaris_version,claim_supported,reliability,notes
Stellaris Wiki - Modding tutorial,https://stellaris.paradoxwikis.com/Modding_tutorial,Paradox Wikis community,2026-07-08,Wiki current as accessed; not guaranteed 4.4.4-specific,Game/mod folder structure; descriptors; supported_version behavior; logs and launch parameters.,High for public basics; verify edge cases in local 4.4.4 files,"Evidence used for common/events/localisation/gfx/interface folders, descriptor files, and logs."
Stellaris Wiki - Scopes,https://stellaris.paradoxwikis.com/Scopes,Paradox Wikis community,2026-07-08,Wiki current as accessed; scope concepts stable but folder defaults version-sensitive,THIS/PREV/FROM/ROOT; scope-changing triggers/effects; wrong-scope errors in error.log.,High for core scope model; use CWTools/local files for folder-specific scope,Use with CWTools scope tooltips and vanilla examples.
Stellaris Wiki - Localisation modding,https://stellaris.paradoxwikis.com/Localisation_modding,Paradox Wikis community,2026-07-08,Page carried older-version warning; localisation format broadly applicable,"YAML-like .yml, UTF-8 BOM, language header, key syntax, localisation/replace behavior.",Medium-high; verify with current files,Guide labels localisation details as public-source confirmed but still recommends local validation.
Stellaris Wiki - Modifier modding,https://stellaris.paradoxwikis.com/Modifier_modding,Paradox Wikis community,2026-07-08,Older-version warning in section; last-edited metadata after 2025 visible,Modifier scopes; add/mult/reduction formula; economic categories; use_for_ai_budget; resources blocks and generated modifiers.,Medium-high; economic category details need local confirmation,Best public source found for economic category hierarchy and AI-budget relation.
Stellaris Wiki - Technology modding,https://stellaris.paradoxwikis.com/Technology_modding,Paradox Wikis community,2026-07-08,Public page current as accessed; schema checked against CWTools separately,"Technology draw weighting, weight_modifier, comparison syntax, crash risk from bad tech tiers/categories.",High for technology concepts; verify exact fields locally,Used with technologies_consolidated.cwt for scope and ai_weight.
Stellaris Wiki - AI personalities,https://stellaris.paradoxwikis.com/AI_personalities,Paradox Wikis community,2026-07-08,Page displayed PC 4.2 marker when accessed,AI personalities influence foreign/domestic/fleet budgeting; behavior modifiers such as aggressiveness/bravery.,Medium-high; validate against common/personalities in 4.4.4,Do not assume exact constants without local source evidence.
CWTools - Paradox Language Services marketplace,https://marketplace.visualstudio.com/items?itemName=tboby.cwtools-vscode,Thomas Boby / Visual Studio Marketplace,2026-07-08,Extension current as accessed; config version-sensitive,"CWTools validates syntax, loc, trigger/effect/modifier existence, scope context, weights/AI chance, sprites; multi-root load order.",High for tool capability; false positives possible,"Use as static schema validation, not runtime proof."
CW Tools website - Get started,https://cwtools.github.io/get-started.html,CWTools project,2026-07-08,Tool page current as accessed,"Setup workflow: open mod folder, select vanilla folder, wait for scan.",High for setup; UI may change,Good handoff source for local validation.
cwtools/cwtools GitHub,https://github.com/cwtools/cwtools,CWTools project,2026-07-08,Repository current as accessed,"CWTools is a library for parsing, editing, and validating Paradox Interactive script files.",High for tool identity,VS Code extension is usually easier for implementers.
cwtools/cwtools-stellaris-config GitHub,https://github.com/cwtools/cwtools-stellaris-config,CWTools project,2026-07-08,Master branch current as accessed; not guaranteed identical to 4.4.4 stable,Stellaris .cwt config file set for path mappings and schema/scope hints.,High schema clue; verify against local game and active mods,Strongest public source for folder-specific object scopes.
CWTools technologies_consolidated.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/technologies_consolidated.cwt,CWTools project,2026-07-08,Master branch current; local verification required,"Technology path, fields, weight_modifier/ai_weight country scope.",High schema clue,Use with local 4.4.4 files.
CWTools megastructures.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/megastructures.cwt,CWTools project,2026-07-08,Master branch current; local verification required,Megastructure ai_weight scope: system with from country and fromfrom megastructure.,High schema clue,Critical for wrong-scope prevention.
CWTools starbases_consolidated.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/starbases_consolidated.cwt,CWTools project,2026-07-08,Master branch current; local verification required,Starbase building/module/level paths and ai_weight fields; starbase scope with from country comments.,High schema clue,Verify against vanilla examples and Starbase Extended.
CWTools buildings.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/buildings.cwt,CWTools project,2026-07-08,Master branch current; local verification required,Building object structure; planet scope for building body/planet_modifier/ai_weight and ai_resource_production.,High schema clue,Important for AI construction pressure.
CWTools districts.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/districts.cwt,CWTools project,2026-07-08,Master branch current; local verification required,"District potential/allow, zone_slots, ai_weight, ai_resource_production.",High schema clue,Verify 4.5 changes separately.
CWTools zones.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/zones.cwt,CWTools project,2026-07-08,Master branch current; local verification required,Zone and zone-slot definitions; planet scope for potential/unlock and ai_resource_production.,High schema clue,Useful for 4.x zones; local validation required.
CWTools jobs_and_social_strata.cwt,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/jobs_and_social_strata.cwt,CWTools project,2026-07-08,Master branch current; local verification required,Pop job fields; resource block scope notes; pop/planet/country/system modifier scopes.,High schema clue,Pop-job resource scopes are easy to get wrong.
SteamDB Stellaris patch notes / file-change listings,https://steamdb.info/app/281990/patchnotes/,SteamDB,2026-07-08,Patch history across versions; not a schema source,Economic_plans and ai_budget files change across patches; use only as recency indicator.,Medium for file-change evidence; not authoritative for semantics,Avoid using patch file lists as implementation proof.
Community AI-mod discussions,https://steamcommunity.com/workshop/filedetails/discussion/1712760331/1678063648158809356/,Steam community / AI mod authors,2026-07-08,Historic/community-reported; exact version varies,Large AI mods may integrate other mods by editing economic plans and AI budget layers.,Low-medium; use only as lead,Never treat community snippets as 4.4.4 proof.
