node_id,node_type,lane,evidence_source,status,summary,next_step
active_esc_next,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered,"Extra Ship Components NEXT is active at load position 70, Steam ID 2648658105, v4.4.*, common and descriptor present.","Use as base ESC component/technology source; keep before NSC3."
active_nsc3,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered,"NSC3 is active at load position 71, Steam ID 683230077, v4.4.*, common and descriptor present.","Use as NSC3 ship-size/section/hull tech source."
active_esc_component_progression,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered,"ESC NEXT component progression overwrite is active at load position 73 with common and descriptor present.","Treat as intentional component-template/starbase override layer; validate winners before edits."
active_esc_global_designs,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered_with_caveat,"ESC NEXT global ship design overwrite is active at load position 74 and wins 175 global_ship_design objects.","Do not patch global designs until missing design references are triaged."
active_esc_special_weapons,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered,"ESC NEXT special weapon types overwrite is active at load position 75 and wins 265 component_templates.","Validate component templates/sets before direct ship design work."
active_spacefleet_tactica,active_mod,identity,stellaris_packet_active_source_roots_20260708,covered_with_caveat,"Spacefleet Tactica is active at load position 116 and wins large component/section slices.","Ship behavior/designer proof remains runtime-only or smoke-test work."
nsc3_hull_tech_lane,route_pressure,nsc3_capital_hull_route,stellar_ai_director_route_overrides_20260706,covered,"Director route pressure covers tech_Carrier_1, tech_Dreadnought_1, tech_Flagship_1, tech_heavycarrier_1, and tech_supercarrier_1; all are load winners and validation ok.","Keep as technology pressure only until final ship graph semantics are proven."
esc_component_tech_lane,route_pressure,esc_component_route,stellar_ai_director_route_overrides_20260706,covered,"Director route pressure covers esc_tech_dark_matter_power_core_2, esc_tech_strikecraft_5, and esc_tech_dreadnought_computer; all are load winners and validation ok.","Keep as technology pressure only until component/design use is proven."
component_template_winners,graph_surface,component_templates,stellaris_packet_winning_objects_20260708,covered_with_caveat,"Final winners include ESC NEXT 1292, ESC component progression 603, ESC special weapons 265, Spacefleet Tactica 227, NSC3 153 component_templates.","Object-level component fixes require component/set validator and winner proof."
section_ship_size_winners,graph_surface,section_templates;ship_sizes,stellaris_packet_winning_objects_20260708,covered_with_caveat,"NSC3 wins 468 section_templates and 67 ship_sizes; Spacefleet Tactica wins 220 section_templates; Starbase Extended wins starbase-adjacent sections/sizes.","Direct section/ship-size patches remain blocked pending loader semantics and smoke proof."
ship_design_references,reference_check,global_ship_designs;section_templates,stellaris_packet_ship_design_reference_checks_20260708,blocked_for_direct_templates,"Reference check has 17780 ok rows and 75 missing rows: 35 component.template, 21 required_component, 13 ship_size, and 6 section.template.","Triage missing rows before any generated direct global ship design or section-template override."
stellar_ai_director_ship_overrides,generated_surface,ship_graph,stellar_ai_director_generated_file_audit_20260704,blocked_by_design,"Generated-file audit has zero folders in ship_sizes, section_templates, component_templates, component_sets, global_ship_designs, ship_behaviors, or component_slot_templates.","Preserve this block until a dedicated ship-stack implementation card proves safe loader behavior."
