category,representative_objects,classification,recommendation,evidence
Route scope,"hostile_space_fauna_clearance_route",mixed_route_do_not_blanket_boost,"Do not add blanket clearance aggression from the route alone.","JData object atlas filter route_ids contains hostile_space_fauna_clearance_route returned 455 rows / 449 distinct objects across 19 object types."
Cheap blocker - amoeba scout,"space_amoeba; reanimated_space_amoeba",cheap_or_low_medium_blocker,"Eligible for future tightly gated reserve pressure if the implementation can detect ordinary fauna and avoid guardian/leviathan fleets.","Vanilla ship_size space_amoeba has max_hitpoints=300 and fleet_slot_size=1 at common/ship_sizes/07_space_monsters.txt:70,83,87; reanimated equivalent has max_hitpoints=300 and fleet_slot_size=1 at common/ship_sizes/24_reanimated_leviathans.txt:230,244,248."
Cheap blocker - mining drone,"ancient_mining_drone",cheap_or_low_medium_blocker,"Eligible for future tightly gated reserve pressure if target detection is specific and early economy gates are healthy.","Vanilla ship_size ancient_mining_drone has max_hitpoints=200 and fleet_slot_size=1 at common/ship_sizes/07_space_monsters.txt:687,695,699."
Medium blocker - amoeba family,"space_amoeba_mother; space_amoeba_centenarian; reanimated_space_amoeba_mother; reanimated_space_amoeba_centenarian",medium_blocker,"Only consider after corvette/destroyer reserve is healthy; do not use as first-contact aggression target.","Amoeba mother has max_hitpoints=2000 and fleet_slot_size=4 at common/ship_sizes/07_space_monsters.txt:152,165,169; centenarian has max_hitpoints=2000 and fleet_slot_size=4 at common/ship_sizes/13_distant_stars.txt:237,251,255."
Medium blocker - crystal ships,"crystal_ship_small_*; crystal_ship_medium_*; crystal_ship_large_*",medium_blocker_with_reward_synergy,"Potentially useful as a later early-mid reserve target because crystal armor/ESC crystal rewards matter, but only with explicit small/medium/large crystal filters.","Crystal constants are corvette_hp=300, destroyer_hp=650, cruiser_hp=1400 at common/ship_sizes/06_crystal_entities.txt:5,8,11; crystal ship fleet slots are 1/2/4 at lines 49,119,190 and repeated by color/elite variants."
Unsafe guardian - crystal station,"crystal_station_large",unsafe_high_power_static_guardian,"Do not include in early clearance pressure.","Vanilla ship_size crystal_station_large has max_hitpoints=40000 and fleet_slot_size=4 at common/ship_sizes/06_crystal_entities.txt:1501,1512,1516."
Unsafe leviathan - Distant Stars guardians,"leviathan_01_scavenger_bot; leviathan_01_elder_tiyanki; leviathan_01_voidspawn",unsafe_leviathan_guardian,"Do not include in generic hostile-fauna clearance. Reserve any handling for dedicated late-game leviathan policy and runtime evidence.","Scavenger bot has max_hitpoints=100000 at common/ship_sizes/13_distant_stars.txt:37,49; elder tiyanki has max_hitpoints=125000 and fleet_slot_size=32 at lines 76,87,88; voidspawn has max_hitpoints=100000 at lines 115,128."
Unsafe leviathan - reanimated guardians,"reanimated_space_dragon_*; reanimated_leviathan_01_elder_tiyanki; reanimated_leviathan_01_voidspawn",unsafe_leviathan_or_player_reward_ship,"Do not use as hostile-clearance target inputs. These are late reward or special-case assets, not cheap blockers.","Reanimated dragon entries have max_hitpoints=150000 at common/ship_sizes/24_reanimated_leviathans.txt:26,40; reanimated elder tiyanki has max_hitpoints=125000/fleet_slot_size=32 at lines 151,163,164; reanimated voidspawn has max_hitpoints=100000 at lines 188,202."
Reward/event layer,"leviathans_events_1.txt; leviathans_events_2.txt",mixed_reward_layer,"Treat rewards as motivation for selective policies, not as proof that all route objects are safe to pursue early.","Event scan found tier4 research/material rewards, medium artifact rewards, standard unity rewards, relic hooks r_crystallinus_diffuser/r_tiyanki_matriarch_nerve_core, and tech_leviathan_techgenesis hooks in leviathans event files."
Implementation decision,"T18 output for T19",no_generated_change,"No generated reserve change in T18. T19 may add only a narrow reserve policy for cheap ordinary fauna if it can exclude crystal stations, Distant Stars guardians, reanimated leviathans, and broad leviathan event chains.","Atlas route includes events=205, ship_size=38, technology=31, scripted triggers/effects=90, and many unrelated reward/support surfaces; route-level pressure is too broad."
