surface,classification,baseline_status,director_evidence,stellar_ai_reference,parity_note
descriptor_dependencies,reimplement,implemented,mods/StellarAIDirector/descriptor.mod,Stellar AI is private parity evidence only; descriptor dependency intentionally omitted.,Director can launch without declaring Stellar AI once static validation passes.
common/ai_budget,absorb_reimplement,implemented,common/ai_budget/zzz_staid_alloys_budget.txt; common/ai_budget/zzz_staid_gigas_resource_budgets.txt; common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,Stellar AI budget behavior used as private reference for alloy/construction reserve policy.,"The active parent owns generic megastructure alloy reserves; Director budgets cover bounded Gigas resources, fleet conversion, and construction pressure without a Stellar AI runtime dependency."
common/economic_plans,absorb_reimplement,implemented,common/economic_plans/zzzz_staid_additive_economic_plan.txt,Stellar AI basic economy plan used as private parity source for high-scale AI economy spine.,"Director replaces basic_economy_plan with survival, research, construction, trade, fleet-throughput, static-defense, and high-scale reserve subplans."
buildings/districts/jobs/zones,targeted_reimplement,implemented_for_baseline,common/buildings/zzzz_staid_13_dataset_job_pressure_buildings.txt; common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt; generated dataset job-pressure audit,Parent AI support and active-stack valuation datasets preserve source provenance.,"Baseline covers safe building, district, and zone construction pressure through ai_resource_production; broad job automation remains deferred."
colony_types_designations_planet_roles,targeted_reimplement,implemented_for_baseline,common/decisions/zzzz_staid_12_planetary_diversity_outpost_decisions.txt; common/buildings/zzzzz_staid_14_pd_naval_capacity_hard_gates.txt; common/economic_plans/zzzz_staid_additive_economic_plan.txt,"Stellar AI/active-stack planet automation was used as parity context, but no broad colony_type rewrite is emitted.",Director supports high-value planetary diversity/outpost and capacity pressure while deferring broad colony-type/personality-style rewrites.
personalities_diplomacy_war,defer_except_safe_war_support,partial_baseline,common/scripted_triggers/zzz_staid_threat_response_triggers.txt; events/zzz_staid_threat_response_events.txt; common/bombardment_stances/zzzz_staid_12_militarist_raiding_bombardment.txt; economic-plan war support reserves,Stellar AI personality/diplomacy behavior remains reference-only; direct personality and diplomatic-action overrides are high-risk gated.,"Baseline covers defensive readiness, conquest/raiding reserves, and threat response without direct war declarations, diplomatic actions, or personality rewrites."
policies_edicts_defines,reimplement,implemented,common/policies/zzzz_staid_10_opening_growth_policies.txt; common/edicts/zzzz_staid_10_opening_growth_edicts.txt; common/defines/zzzz_staid_14_high_scale_ai_defines.txt,Stellar AI opening/growth pressure informed parity goals; Director emits standalone policy/edict/define AI weights.,"Baseline covers growth, research conversion, diplomacy stance pressure, construction scoring, and high-scale AI refresh/target tuning."
research_economy_fleet_conversion,reimplement,implemented,common/technology/zzzz_staid_01_unlock_technology_technology.txt; common/tradition_categories/zzzz_staid_02_perks_traditions_tradition_categories.txt; common/traditions/zzzz_staid_02_perks_traditions_traditions.txt; common/ascension_perks/zzzz_staid_02_perks_traditions_ascension_perks.txt; fleet-throughput economic subplans,Stellar AI research/economy spine used as parity reference for mandatory unlock and fleet payoff routing.,"Director pushes Mega Engineering, Mega Shipyard, Gigas, NSC3, ESC, AP/tradition, and fleet-throughput routes directly."
generated_conflict_winners,validate_preserve_or_intentional_override,implemented,stellar-ai-director-generated-conflicts-2026-07-04.csv; stellar-ai-director-generated-reference-audit-2026-07-04.csv,Stellar AI copied/reimplemented objects retain source provenance in generated audits.,Static validation must show generated references resolve and intentional winners are documented before standalone readiness is claimed.
spacefleet_tactica_ship_build_logic,absorb_reimplement,implemented,common/component_templates/000_SFT_00_utilities_roles.txt; common/scripted_triggers/zzzz_staid_sft_addon_equivalence.txt; common/on_actions/zzzz_staid_sft_design_refresh_on_actions.txt; research/stellar-ai/stellar-ai-director-sft-equivalence-audit-2026-07-09.md,Spacefleet Tactica 3696204283 plus active add-ons 3703611846 and 3726506420 are copied as the ship-build parity source for the Director.,Director preserves SFT component/combat-computer AI weights and the surviving auto-design refresh path while explicitly disabling SFT new sections and enabling combat-computer restriction removal to match the active add-ons.
advanced_ship_design_nsc3_esc_gigas_runtime,defer,non_baseline_gap,mods/StellarAIDirector/notes/tuning-notes.md; research/stellar-ai/stellar-ai-director-open-roadmap-2026-07-07.md; research/stellar-ai/stellar-ai-director-sft-equivalence-audit-2026-07-09.md,"Stellar AI does not settle active-stack section-template, ship-size, Gigas runtime, or observer-proof questions.","SFT component/combat-computer logic is now absorbed separately; direct section-template emission, ship-size edits, broad ship-design overrides, advanced Gigas optimization, personalities, diplomatic actions, and observer proof remain gated."
