source,type,version,date_accessed,claim_supported,reliability,uncertainty,URL_or_file_reference
HildoYe/game_files common/defines/00_defines.txt,public game-file mirror,"commit e6d531; 4.4.x inferred, verify local 4.4.4",2026-07-08,"AI aggression, claims, war-prep, declaration distance, fleet-confidence define values",High for observed file content; medium for exact 4.4.4 version,"Unofficial mirror, not Paradox primary distribution",https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/defines/00_defines.txt
HildoYe/game_files common/personalities/00_personalities.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,"Personality fields, behavior flags, and examples",High for observed file content,Verify local file and mod overwrite order,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/personalities/00_personalities.txt
HildoYe/game_files common/policies/00_policies.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,war_philosophy and war_doctrine policy gates,High for observed file content,Policy behavior may depend on hardcoded policy engine,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/policies/00_policies.txt
HildoYe/game_files common/casus_belli/00_casus_belli.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,CB schema and vanilla CB prerequisites,High for observed file content,CB validity evaluation includes engine behavior,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/casus_belli/00_casus_belli.txt
HildoYe/game_files common/war_goals/00_war_goals.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,Vanilla wargoal prerequisite chains and AI weights,High for observed file content,Some outcomes depend on hardcoded war engine,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/war_goals/00_war_goals.txt
HildoYe/game_files common/diplomatic_actions/00_actions.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,"Diplomatic action schema, action_declare_war, rivalry action",High for observed file content,File comments state hardcoded reasons still apply to AI acceptance,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/diplomatic_actions/00_actions.txt
HildoYe/game_files common/game_rules/00_rules.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,can_add_claim and is_valid_rival rules; hardcoded-rule caveat,High for observed file content,File itself warns of additional hardcoded rules,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/game_rules/00_rules.txt
HildoYe/game_files common/federation_laws/08_declare_war_vote.txt,public game-file mirror,commit e6d531; 4.4.x inferred,2026-07-08,Federation declare-war vote settings that mutate action_declare_war,High for observed file content,Requires Federations DLC/federation context,https://github.com/HildoYe/game_files/blob/e6d53157737d29324a41c6598a384af3b4091df1/common/federation_laws/08_declare_war_vote.txt
Paradox Wiki: AI personalities,official/community-maintained wiki,page states verified for PC 4.2,2026-07-08,"Gameplay descriptions of behavior modifiers, bravery thresholds, ship-design preferences",Medium: official wiki but older than 4.4 target,Use only where current script comments do not give exact thresholds; verify locally,https://stellaris.paradoxwikis.com/AI_personalities
Paradox Wiki: Warfare,official/community-maintained wiki,current page accessed 2026-07-08,2026-07-08,"Gameplay relation of CBs, wargoals, claims, total war, AI pre-war positioning warning",Medium-high for gameplay overview; exact numbers should be file-verified,Wiki can lag current patch and local DLC/mod state,https://stellaris.paradoxwikis.com/Warfare
Stellaris Fandom: Defines,community wiki,older/uncertain,2026-07-08,Cross-check for define names when public mirror unavailable,Low-medium; not used as primary for values already verified in mirror,Can be outdated; use only as fallback,https://stellaris.fandom.com/wiki/Defines
Local Stellaris PC 4.4.4 installation,recommended primary verification source,4.4.4 local,2026-07-08,Final verification of every value and file path before mod release,Highest when available,Not accessed in this environment,Steam/GOG installation common/ files
Inference from exposed script surfaces,analysis/inference,4.4.x source-adjacent,2026-07-08,"Hardcoded or undocumented chain points, e.g. exact candidate scanner and claim budget behavior",Medium when consistent with files; lower for exact math,Engine source unavailable; do not treat as trigger/effect names,N/A
