source_artifact,object_type,object_id,issue_key,source_mod,source_file,current_status,decision,resolved_value_or_policy,evidence,confidence,codex_action
buildings,building,building_giga_matrioshka_brain_uplink_refinery,@[,Gigastructural Engineering & More (4.4),common\buildings\giga_matrioshka_brain_uplinks.txt,variable_value_unresolved,resolved_source_local_variable,Evaluate bracket expressions in source-local context: upkeep_mult = 0.25 * 0.5 = 0.125; research_upkeep_add = 1 * 0.5 = 0.5.,Source file defines @upkeep_mult = 0.25 and @research_upkeep = 1; the refinery object uses `upkeep_mult = @[ upkeep_mult * 0.5 ]` and `research_upkeep_add = @[ research_upkeep * 0.5 ]` in its refinery boost inline scripts.,high,"Teach the numeric resolver to evaluate PDX bracket arithmetic expressions with source-local variables, then remove this unresolved_variable blocker row."
development,district,district_giga_birch_physma_administration,@[,Gigastructural Engineering & More (4.4),common\districts\giga_birch_world.txt,variable_value_unresolved,still_blocked_missing_evidence,Missing value for expression variable `giga_birch_sector_jobs`; cannot evaluate `@[ giga_birch_sector_jobs * 5 ]`.,"Uploaded Gigas `common\districts\giga_birch_world.txt` contains `job_bio_trophy_add = @[ giga_birch_sector_jobs * 5 ]` for this object, but the uploaded context contains no assignment for `@giga_birch_sector_jobs` or `giga_birch_sector_jobs`.",high,"Keep this single blocker until the active-stack source defining `giga_birch_sector_jobs` is supplied, probably a Gigas scripted-variable or included variable file; do not infer the job count."
development,district,district_giga_frameworld_amenities_dystopian,@[,Gigastructural Engineering & More (4.4),common\districts\giga_frameworld_districts.txt,variable_value_unresolved,resolved_source_local_variable,Evaluate bracket expressions in source-local context: minerals cost = 1000 * 2 = 2000; energy upkeep = 5 * 2 = 10.,Source file defines @advanced_cost = 1000 and @advanced_upkeep = 5; the dystopian amenities district uses `minerals = @[ advanced_cost * 2 ]` and `energy = @[ advanced_upkeep * 2 ]`.,high,Teach the numeric resolver to evaluate PDX bracket arithmetic expressions with source-local variables; update development and strategic-infrastructure rows and remove this blocker row.
strategic_infrastructure,building,building_ai_emporium,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_ai_emporium consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_amusement_megaplex,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_amusement_megaplex consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_augmentation_bazaars_branch,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_augmentation_bazaars_branch consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_capital,@tier_2_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_2_capital_defense_armies = 4,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_2_capital_defense_armies = 4.,high,Update source-local variable resolution so building:building_capital consumes @tier_2_capital_defense_armies as 4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_capital_wilderness,@tier_2_capital_defense_armies,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_2_capital_defense_armies = 4,Source-local variable assignment found in Stellaris vanilla/common\buildings\21_wilderness_buildings.txt: @tier_2_capital_defense_armies = 4.,high,Update source-local variable resolution so building:building_capital_wilderness consumes @tier_2_capital_defense_armies as 4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_clear_thought_clinic,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_clear_thought_clinic consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_commercial_forum,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_commercial_forum consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_corporate_clinics,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_corporate_clinics consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_corporate_embassy,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_corporate_embassy consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_executive_retreat,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_executive_retreat consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_food_conglomerate,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_food_conglomerate consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
