collection_name,steam_url,maintainer,purpose,included_mod_count_if_known,current_update_status,target_playstyle,compatibility_notes,risk_level,source_urls
UI Overhaul Dynamic - Submods,https://steamcommunity.com/workshop/filedetails/?id=2094085974,Orrie,Curated UIOD add-ons for topbar/text/planet view/performance/speed dial/options,24 items listed on page,Updated 2026-06-23; snippets say 4.4,Light UI/QoL,Use with main UIOD; respect per-submod conflicts such as SpeedDial and outliner replacements,Low to medium,https://steamcommunity.com/workshop/filedetails/?id=2094085974; https://steamcommunity.com/sharedfiles/filedetails/?id=1623423360
UI Overhaul Dynamic - Compatibility Patches,https://steamcommunity.com/sharedfiles/filedetails/?id=1623423360,Orrie,Official compatibility-patch collection linked from main UIOD page,16 items linked from main page,Current main page updated 2026-07-03,UI-heavy mod lists,Patch only the exact mods you run; UIOD last except compatches/specific overrides,Low if exact patches only,https://steamcommunity.com/sharedfiles/filedetails/?id=1623423360
Stellaris - Essentials for Pegasus 4.4.1,https://steamcommunity.com/workshop/filedetails/?id=1678742403,Collection maintainer on Steam,Curated 20-item starter collection with load-order notes for Pegasus 4.4.1,20,"Updated 2026-06-15; explicitly 4.4.1, not 4.4.4",Returning-player starter / vanilla+,"Good discovery source, but manually revalidate every item against live 4.4.4 before subscribing all",Medium,https://steamcommunity.com/workshop/filedetails/?id=1678742403
Planetary Diversity - All of Them,https://steamcommunity.com/workshop/filedetails/?id=2347023229,Gateman/PD ecosystem,Discovery collection for current Planetary Diversity submods,9 items listed,Collection metadata older; item snippets show 4.4.*,Planet-variety medium setup,Subscribe individual current submods after checking update dates; avoid overloading first playthrough,Medium,https://steamcommunity.com/workshop/filedetails/?id=2347023229; https://steamcommunity.com/sharedfiles/filedetails/?id=819148835
Real Space Full Pack,https://steamcommunity.com/workshop/filedetails/?id=1323937078,Annatar / Real Space ecosystem,Real Space module package and recommended order,10 items listed,Collection metadata old; component snippets current to 4.4/4.4.3,Visual/galaxy-generation overhaul,"Real Space modules very low/bottom; high interaction with galaxy generation, scale and megastructure mods",High,https://steamcommunity.com/workshop/filedetails/?id=1323937078; https://steamcommunity.com/sharedfiles/filedetails/?id=937289339
Gigastructural Engineering submods and compatibility collections,https://steamcommunity.com/sharedfiles/filedetails/?id=1121692237,Gigastructures team,"Submods, compatibility patches, shipsets/assets and legacy-version collections linked from main page",Submods 23; compatibility patches 13; shipsets/assets 8; legacy 23 per page,Current main page updated 2026-06-30,Ambitious megastructure overhaul,Use only relevant compatches; avoid Real Space System Scale conflict unless resolved; start new save,High,https://steamcommunity.com/sharedfiles/filedetails/?id=1121692237; https://steamcommunity.com/sharedfiles/filedetails/?id=1121692237; https://steamcommunity.com/sharedfiles/filedetails/?id=1121692237
NSC Highly Recommended Companion Mods,https://steamcommunity.com/workshop/filedetails/683230077,NSC3 team,Companion mods recommended around NSC3,6 listed on page,Main NSC3 updated 2026-06-28,Ambitious ship/combat playset,Requires UIOD; check each companion for 4.4 and load-order notes; ESC before NSC3 if used,High,https://steamcommunity.com/workshop/filedetails/683230077; https://steamcommunity.com/workshop/filedetails/683230077
Amazing Space Battles Collection,https://steamcommunity.com/sharedfiles/filedetails/?id=1878473679,ASB maintainer,Related ASB visual/combat items,6 listed on page,Main ASB updated 2026-06-26,Graphics/combat spectacle,Avoid with other combat overhauls until tested; visual + combat timing impact,Medium,https://steamcommunity.com/sharedfiles/filedetails/?id=1878473679; https://steamcommunity.com/sharedfiles/filedetails/?id=1878473679
ST: New Horizons - A Star Trek Collection,https://steamcommunity.com/workshop/filedetails/?id=687674478,G-Man / STNH team,Official STNH main mod + UI/music submods,10,Main mod lists 4.3.7 WIP; not current-live 4.4.4,"Dedicated Star Trek total conversion, rollback branch",Use only main + optional TNG + one UI + music; do not mix with standard mods,High; not live 4.4.4,https://steamcommunity.com/workshop/filedetails/?id=687674478; https://steamcommunity.com/sharedfiles/filedetails/?id=688086068
Renegades Modding Group Collection,https://steamcommunity.com/sharedfiles/filedetails/?id=2791119024,Renegades Modding Group,Collection context for Star Wars LoToR/New Dawn ecosystem,38 shown on LoToR/New Dawn pages,"Current major mods list 4.3.7, not 4.4.4","Dedicated Star Wars total conversion, rollback/wait",Separate playset; avoid UI and vanilla gameplay mods unless RMG docs say compatible,High; not live 4.4.4,https://steamcommunity.com/sharedfiles/filedetails/?id=2791119024; https://steamcommunity.com/sharedfiles/filedetails/?id=3575236236
