target_type,target_id,current_winner,value_evidence,current_coverage,blocker,risk,next_action
building,building_gaia_unity_servitor,Stellar AI Director,"net=15004.0;roi_2250_2350=18004520.0","generated in common/buildings/zzzz_staid_12_planetary_diversity_buildings.txt","none from current generated audits","covered","preserve existing PD support"
building,pd_lab_family,Stellar AI Director,"multiple PD labs net roughly 2705-5410;roi_2250_2350 roughly 3245720-6491720","generated in common/buildings/zzzz_staid_12_planetary_diversity_buildings.txt","avoid duplicate support","covered","preserve existing PD research route"
building,building_navel_command,Planetary Diversity - More Arcologies,"net=7201.75;roi_2250_2350=8641690.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep","not found in generated conflict candidate check","object body and prerequisite gates not inspected in this slice","medium","inspect source body; consider narrow building-weight pass"
building,building_navel_base,Planetary Diversity - More Arcologies,"net=3605.75;roi_2250_2350=4326760.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep","not found in generated conflict candidate check","object body and prerequisite gates not inspected in this slice","medium","inspect source body; consider narrow building-weight pass"
building,building_pd_rogue_council,Planetary Diversity - More Arcologies,"net=2405.5;roi_2250_2350=2886460.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep","not found in generated conflict candidate check","government/authority gates not inspected in this slice","medium","inspect source body; consider narrow government-building support"
zone,zone_pd_command_nexus,Planetary Diversity - More Arcologies,"net=3606.0;roi_2250_2350=4326850.0;flags=ai_weight_absent|has_build_cost|has_jobs","not found in generated conflict candidate check","More Arcologies zones have override conflicts; zone behavior/UI proof needed","high","defer to dedicated zone support proof"
zone,zone_pd_preserve,Planetary Diversity - More Arcologies,"net=1803.0;roi_2250_2350=2163250.0;flags=ai_weight_absent|has_build_cost|has_jobs","not found in generated conflict candidate check","More Arcologies zones have override conflicts; zone behavior/UI proof needed","high","defer to dedicated zone support proof"
zone,zone_pd_trade_market,Planetary Diversity - More Arcologies,"net=1803.0;roi_2250_2350=2163250.0;flags=ai_weight_absent|has_build_cost|has_jobs","not found in generated conflict candidate check","More Arcologies zones have override conflicts; zone behavior/UI proof needed","high","defer to dedicated zone support proof"
zone,zone_pd_machine_replication,Planetary Diversity,"net=606.0;roi_2250_2350=727200.0;flags=ai_weight_absent|has_jobs|uses_inline_script","not found in generated conflict candidate check","inline script and zone surface risk","high","defer"
district,district_resort,Planetary Diversity - More Arcologies,"net=3008.0;roi_2250_2350=3609600.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep|overridden_in_stack|unresolved_variables","generated in common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt","unresolved variables and override stack","medium","preserve current generated support; avoid broad designation rewrite"
district,district_srw_commercial,Planetary Diversity - More Arcologies,"net=2411.75;roi_2250_2350=2894100.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep|overridden_in_stack|unresolved_variables","generated in common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt","unresolved variables and override stack","medium","preserve current generated support; avoid broad designation rewrite"
district,district_crashed_slaver_ship,Planetary Diversity - More Arcologies,"net=2411.5;roi_2250_2350=2893800.0;flags=ai_weight_absent|has_jobs|has_upkeep|overridden_in_stack","generated in common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt","override stack","medium","preserve current generated support; avoid broad designation rewrite"
district,district_pd_fortress_arcology_housing,Planetary Diversity - More Arcologies,"net=607.75;roi_2250_2350=728800.0;flags=ai_weight_absent|has_build_cost|has_jobs|has_upkeep","not found in generated conflict candidate check","lower value and defense-flavored district requires source inspection","medium","defer unless a dedicated defense/arcology pass needs it"
