benefit_class,object_type,object_id,source_mod,source_file,current_status,decision,formula_or_policy,evidence,confidence,codex_action
planet_capacity,,,,,not_observed,source_backed_zero_effect,"Zero-effect classification: the taxonomy has a no-active-stack-evidence row for planet_capacity, with no object_id, no source file, not_observed status, and benefit_amount 0.","Benefit taxonomy row: valuation_status=not_observed, formula_status=not_observed, evidence_kind=no_active_stack_evidence, benefit_amount=0.0 Blocker row status=not_observed for :<class-row> in /. No active-stack object is attached to the taxonomy row; this is an audit coverage row only.",high,"Keep the class coverage row for audit completeness, but do not emit a blocker or consumer score unless future active-stack evidence appears."
starbase_support,starbase_building,administration_computers,Starbase Extended 3.0,common\starbase_buildings\sbx_3_0_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: object is starbase-related or matched a starbase support term, but this row has no numeric starbase-support amount. The current build-plan consumer surfaces are economic plans and colony automation, not arbitrary starbase scoring.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:administration_computers in Starbase Extended 3.0/common\starbase_buildings\sbx_3_0_buildings.txt.",high,Preserve as starbase-lane tag and exclude from colony/economic-plan numeric scoring until a starbase-specific consumer formula exists.
empire_country_modifier,building,aesthetic_wonders_holomuseum,Stellaris vanilla,common\buildings\21_grand_archive_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:aesthetic_wonders_holomuseum in Stellaris vanilla/common\buildings\21_grand_archive_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,starbase_module,anchorage,Stellaris vanilla,common\starbase_modules\00_starbase_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:anchorage in Stellaris vanilla/common\starbase_modules\00_starbase_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
direct_resource_support,starbase_building,arkship_alloys_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: direct-resource terms were found by text/structural signal while benefit_amount remains 0. Parsed direct resource output rows are already numeric elsewhere; do not invent a resource amount here.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_alloys_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Exclude this row from numeric scoring; keep it as a detection tag and rely only on parsed direct_output/job_output resource columns for economic-plan amounts.
bombardment_resistance,starbase_building,arkship_aura_bombardment,Stellaris vanilla,common\starbase_buildings\00_arkship_component_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: taxonomy found a bombardment-resistance signal without a numeric modifier amount. Do not infer resistance value from object name or aura text.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_aura_bombardment in Stellaris vanilla/common\starbase_buildings\00_arkship_component_buildings.txt.",high,Suppress the benefit_formula_status blocker by marking this row detected-only; add a numeric formula only if a parsed bombardment modifier is present later.
empire_country_modifier,starbase_module,arkship_beastport,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:arkship_beastport in Stellaris vanilla/common\starbase_modules\00_arkship_utility_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
direct_resource_support,starbase_building,arkship_consumer_goods_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: direct-resource terms were found by text/structural signal while benefit_amount remains 0. Parsed direct resource output rows are already numeric elsewhere; do not invent a resource amount here.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_consumer_goods_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Exclude this row from numeric scoring; keep it as a detection tag and rely only on parsed direct_output/job_output resource columns for economic-plan amounts.
empire_country_modifier,starbase_module,arkship_docking_bay,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:arkship_docking_bay in Stellaris vanilla/common\starbase_modules\00_arkship_utility_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,starbase_building,arkship_embassy_complex,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_embassy_complex in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
direct_resource_support,starbase_building,arkship_energy_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: direct-resource terms were found by text/structural signal while benefit_amount remains 0. Parsed direct resource output rows are already numeric elsewhere; do not invent a resource amount here.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_energy_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Exclude this row from numeric scoring; keep it as a detection tag and rely only on parsed direct_output/job_output resource columns for economic-plan amounts.
direct_resource_support,starbase_building,arkship_food_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: direct-resource terms were found by text/structural signal while benefit_amount remains 0. Parsed direct resource output rows are already numeric elsewhere; do not invent a resource amount here.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_food_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Exclude this row from numeric scoring; keep it as a detection tag and rely only on parsed direct_output/job_output resource columns for economic-plan amounts.
empire_country_modifier,starbase_module,arkship_grand_archive,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:arkship_grand_archive in Stellaris vanilla/common\starbase_modules\00_arkship_utility_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,starbase_building,arkship_resource_silo,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_resource_silo in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,starbase_module,arkship_system_scanner,Stellaris vanilla,common\starbase_modules\00_arkship_spinal_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:arkship_system_scanner in Stellaris vanilla/common\starbase_modules\00_arkship_spinal_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
direct_resource_support,starbase_building,arkship_trade_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,Detected-only for this row: direct-resource terms were found by text/structural signal while benefit_amount remains 0. Parsed direct resource output rows are already numeric elsewhere; do not invent a resource amount here.,"Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_trade_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,Exclude this row from numeric scoring; keep it as a detection tag and rely only on parsed direct_output/job_output resource columns for economic-plan amounts.
trade_policy_value,starbase_building,arkship_trade_hub,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only for this row: trade/trade_value text is present without a parsed numeric amount. Do not assume trade policy conversion into energy, consumer goods, or unity.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:arkship_trade_hub in Stellaris vanilla/common\starbase_buildings\00_arkship_colony_buildings.txt.",high,"Keep as trade relevance tag; only parsed `trade`/`trade_value` amounts should feed economic-plan trade pressure, with no policy-conversion math."
empire_country_modifier,starbase_building,artifact_silo,NSC3,common\starbase_buildings\nsc_starbase_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_building:artifact_silo in NSC3/common\starbase_buildings\nsc_starbase_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,starbase_module,beastport,Stellaris vanilla,common\starbase_modules\00_starbase_modules.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for starbase_module:beastport in Stellaris vanilla/common\starbase_modules\00_starbase_modules.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_adakkaria_patriotic_institute,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:building_adakkaria_patriotic_institute in Stellaris vanilla/common\buildings\19_cosmic_storm_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_amphitheater_of_the_mind,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:building_amphitheater_of_the_mind in Stellaris vanilla/common\buildings\20_machine_age_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_amusement_megaplex,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:building_amusement_megaplex in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_ancient_cryo_chamber,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:building_ancient_cryo_chamber in Stellaris vanilla/common\buildings\13_fallen_empire_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_ancient_ward_1,Stellaris vanilla,common\buildings\23_shroud_buildings.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Benefit taxonomy row: valuation_status=detected_unvalued, formula_status=detected_no_formula, evidence_kind=text_or_structural_signal, benefit_amount=0.0 Blocker row status=detected_unvalued for building:building_ancient_ward_1 in Stellaris vanilla/common\buildings\23_shroud_buildings.txt.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
empire_country_modifier,building,building_archaeostudies_faculty,Planetary Diversity - More Arcologies,common\buildings\zzz_pd_archaeostudies_faculty_archeotech_override.txt,detected_unvalued,detected_only_non_scoring_policy,"Detected-only: empire/country modifier, empire-limit, or text signal exists, but no scoped numeric local build-plan formula is defined. This class should not become a generic positive score.","Current winning source contains an empire_limit uniqueness constraint plus separately parsed numeric research modifiers. Treat the structural empire_limit match as detected-only; preserve the numeric research modifier rows independently.",high,Mark detected-only/non-consumable for build-plan scoring; add explicit per-modifier formulas later only for parsed numeric modifier keys.
