folder,object type,current scope,supported fields,merge behavior,source URL/path,4.4.4/4.4.5 notes
common/ai_budget,ai_budget,replace_scope this/root=country,resource; type=expenditure/upkeep; category; potential trigger; weight with base/modifier_rule; desired_max; desired_min with modifier factor enum,Not specified by public CWTools schema; use load-order/runtime validation.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/00_small_types_consolidated.cwt :: config/common/00_small_types_consolidated.cwt,No public 4.4.4/4.4.5-labelled schema split found; checked current CWT matched last public version-labelled 4.3.7 file for this surface.
common/economic_plans,economic_plan,country for subplan.potential and ai_weight,income; focus; subplan 1..inf with potential/income/focus/pops/empire_size/naval_cap/set_name/scaling/optional; top-level pops/empire_size/naval_cap/ai_weight,Local 4.4.5 docs say additive/merge-like; duplicate subplan names overwrite nested subplans. Public CWT gives schema only.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/00_small_types_consolidated.cwt :: config/common/00_small_types_consolidated.cwt,No public 4.4.4/4.4.5 schema split found; current CWT matched checked 4.3.7 file.
common/on_actions,on_action,current public schema intentionally stripped down; old scoped validation disabled because scripted on_actions exist,events block containing <event>; random_events block containing int=0 and int=<event>,Nested duplicate event-ID semantics not specified by public CWTools or public Paradox docs found here; runtime test required.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/on_actions.cwt and https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/on_actions%20old.txt,No exact public 4.4.4/4.4.5 CWT difference found.
common/colony_types,colony_type,planet for resource conversion/current conversion triggers and planet_modifier,icon; ai_resource_conversion; ai_resource_current_conversion; potential; custom_tooltip; planet_modifier; triggered_planet_modifier alias; weight_modifier,Not specified by public CWT; validate active file winners.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/colony.cwt :: config/common/colony.cwt,No public 4.4.4/4.4.5 delta found; current CWT matched checked 4.3.7 file.
common/colony_automation,colony_automation,push_scope=planet; path_strict=yes,category; available; prio_districts; prio_zones; buildings scalar entries with building/available/planet_limit,Not specified by public CWT; active stack and runtime logs needed.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/colony.cwt :: config/common/colony.cwt,No public 4.4.4/4.4.5 delta found.
common/colony_automation_exception,colony_automation_exception,type path only found in public CWT,Public CWT defines path game/common/colony_automation_exception but no object body found in fetched colony.cwt.,Unknown from public CWT; inspect vanilla examples and runtime parser errors.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/colony.cwt :: config/common/colony.cwt,Unresolved from public CWT.
common/districts,district,push_scope=planet; country scope for show_tech_unlock_if,is_uncapped; base_cap_amount; default_starting_district; inherits_capped_modifiers_from; base_buildtime; desc/triggered desc/name; icon/overlay/gridbox; exempt_from_ai_planet_specialization; can_demolish; potential/allow; on_queued/on_unqueued/on_built/on_destroy; prerequisites; convert_to; resources; zone_slots; planet_modifier; ai_weight; ai_resource_production; ai_estimate_without_unemployment; additional_ai_weight; ai_weight_coefficient,Not specified by public CWT; conflict/load-order diff and runtime UI/log validation needed.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/districts.cwt :: config/common/districts.cwt,No public 4.4.4/4.4.5 delta found; current CWT matched checked 4.3.7 file.
common/zones,zones,planet for potential/unlock/modifiers,icon; base_buildtime; max_buildings_planet_class; planet_limit int or block; swap_type; swap_type_weight; potential; unlock; resources category planet_zones/cost; ai_resource_production; triggered_district_planet_modifier; planet_modifier; triggered_desc; max_buildings; zone_sets; include; included/excluded_building_sets; convert_to; show_in_tech; ai_priority; ai_weight_coefficient,Not specified by public CWT; final winners important for AI/PD/Stellar AI stacks.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/zones.cwt :: config/common/zones.cwt,No public 4.4.4/4.4.5 delta found; current CWT matched checked 4.3.7 file.
common/zone_slots,zone_slots,replace_scope root/this/from=planet for potential/unlock,start=<zones> or zone_type; included_zone_sets; include zones/zone_type; exclude zones/zone_type; potential; unlock; zone_type enum all/any; zone_set complex enum; zone_default,Not specified by public CWT; runtime/UI validation needed.,https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/zones.cwt :: config/common/zones.cwt,No public 4.4.4/4.4.5 delta found; current CWT matched checked 4.3.7 file.
common/ship_sizes,ship_size,mixed ship/starbase/country/planet/construction scopes; section_slots feed section/global design enums,graphical culture/entity; movement/combat stats; is_designable/is_space_station/class/construction_type; modifiers; fleet_slot_size; section_slots; ship_roles/triggered_ship_roles; prerequisites; required_component_set; country/planet/starbase/construction possible/potential; resources; ai_ship_data,"Not specified by public CWT; NSC3 says it still overwrites vanilla 00_ship_sizes, so active load order is material.",https://github.com/cwtools/cwtools-stellaris-config/blob/master/config/common/ship_sizes.cwt :: config/common/ship_sizes.cwt,No public 4.4.4/4.4.5 delta found; current CWT matched checked 4.3.7 file.
