route_id,representative_objects,prerequisites_recorded,resource_or_flag_blockers_recorded,generated_support,current_decision,remaining_caveat
mega_engineering_core,"tech_mega_engineering; dyson_sphere_0; matrioshka_brain_0_g_star; mega_shipyard_0","tech_zero_point_power; tech_dyson_sphere; giga_tech_matrioshka_brain_1; tech_mega_shipyard","route report records alloys, dark matter, negative mass, sentient metal, supertensiles, unity, influence, energy, food megastructure budget surfaces","technology and megastructure route overrides; special-resource budgets","covered; no patch","large route remains broad; runtime proof still required"
mega_shipyard_core,"tech_mega_shipyard; mega_shipyard_0","tech_mega_engineering; tech_mega_shipyard","built_mega_shipyard_site; vanilla_shipyard_capped_u; vanilla_shipyard_disabled; upgrade to mega_shipyard_1","technology and generated megastructure override","covered with caveat; no patch","route_overrides marks the Gigas source mega_shipyard_0 row load_winner=no, so future changes must preserve final winner proof"
economy_megastructure_core,"dyson_sphere_0; matrioshka_brain_0_g_star","tech_dyson_sphere; giga_tech_matrioshka_brain_1","built_dyson_sphere; giga_dyson_scaling; vanilla_dyson_* flags; matrioshka_brain_capped_u; matrioshka_brain_disabled","generated megastructure overrides and route gates","covered; no patch","many economy rows remain observe-only in route report"
early_kilo_economy_core,"tech_orbital_arc_furnace; giga_tech_asteroid_manufactory; orbital_arc_furnace_1; asteroid_manufactory_0","tech_space_mining_2; tech_orbital_arc_furnace","asteroid_manufactory_disabled; orbital arc furnace current-building/cap flags","technology and generated megastructure overrides","covered; no patch","route report includes many platform variants not directly overridden"
science_kilo_snowball_core,"giga_tech_engineering_test_site; giga_tech_macro_scale_weather_manipulation; macro_test_site_0; atmosphere_shredder_0","tech_sensors_3; giga_tech_engineering_test_site; giga_tech_macro_scale_weather_manipulation","compressor/lifters/megabase/storm_observatory disabled and cap flags","technology and generated megastructure overrides","covered; no patch","observer evidence needed to prove early build tempo"
research_megastructure_core,"tech_science_nexus; think_tank_0; think_tank_3","tech_mega_engineering; tech_science_nexus","built_think_tank; vanilla_nexus_capped_u; vanilla_nexus_disabled; has_built_or_repaired_megastructure","technology and generated megastructure overrides","covered; no patch","runtime proof needed for 3,000+ research target"
planetary_computer_research_core,"giga_tech_planetary_computer; planetary_computer_0; planetary_computer_1; district_giga_pcc_science","giga_tech_macro_scale_weather_manipulation; tech_ecological_adaptation; tech_power_plant_3; tech_self_aware_logic; giga_tech_planetary_computer","planetary_computer_disabled; planetary_computer_capped_u","technology, megastructure, and district overrides","covered; no patch","district support is static; colony/job automation proof remains later work"
planetcraft_route,"giga_tech_planet_assembly; ap_celestial_printing; planetcraft_printer_0","giga_tech_lunar_assembly; giga_tech_planet_assembly","giga_celestial_printing_planet_disabled; giga_bulk_matter_cost_disabled; pangalactic_defense_league; warplanet_disabled; upgrade to planetcraft_printer_1_fake","technology, AP, and generated megastructure overrides","covered; no patch","actual planetcraft construction remains runtime-only proof"
war_moon_route,"giga_tech_lunar_assembly; giga_tech_war_moon_1; giga_tech_war_moon_2; giga_tech_war_moon_sections; war_moon_0","tech_mega_engineering; tech_thrusters_4; giga_tech_asteroid_artillery; giga_tech_war_moon_1; giga_tech_war_moon_2","systemcraft_disabled; warmoon_disabled; warplanet_disabled; pangalactic_defense_league; warmoon_capped_u; upgrade to war_moon_1","technology and generated megastructure overrides","covered; no patch","ship/component design proof remains separate"
systemcraft_route,"giga_tech_war_system_1..6; war_system_0","giga_tech_war_system_1 through giga_tech_war_system_5 chain","systemcraft_disabled; systemcraft_capped_u; warmoon_disabled; warplanet_disabled; upgrade to war_system_1","technology and generated megastructure overrides","covered; no patch","systemcraft production is runtime-only proof"
gigas_special_resource_core,"tech_ehof_sentient_tier_1; tech_nm_utilization_1; giga_tech_amb_supertensiles; sentient_metal_expenditure_megastructures; negative_mass_expenditure_megastructures; supertensiles_upkeep_megastructures","tech_negative_e_s; tech_ssn_det; tech_u_r_e_t","ehof_disabled; ehof_level_1_possible; giga_sr_amb_megaconstruction_found; advanced support gate requires income for sentient metal, negative mass, or megaconstruction","technology route overrides, resource-income trigger, economic-plan reserve targets, and narrow Gigas resource budgets","covered with caveat; no patch","supertensiles naming maps to giga_sr_amb_megaconstruction budget; do not add extra resource gates without source proof"
