verification_id,surface,local_check,why_not_external_research,source_ids,output,priority
RV001,Console command help,"Run `help create_megastructure`, `help effect`, `help research_technology`, `help resource`, `help human_ai`, `help observe` in 4.4.5.",Command availability and argument syntax can differ by game build and active debug surface.,S060;S064,Record exact help output in test notes.,P0
RV002,Gigas object IDs,"Parse active Gigas Workshop source for current tech, megastructure, event, resource, flag, and crisis IDs.",Steam/community pages do not guarantee exact current script IDs.,S001;S002;S003,ID inventory for Gigas route implementation.,P0
RV003,ESC reactor setting,Start disposable game and configure ESC NEXT reactors before first month with NSC3 active.,"Workshop guidance gives the action, but UI setting name and state are active-version runtime data.",S029,Screenshot or note of final ESC setting state.,P0
RV004,NSC3/ESC/SFT ship designer,All-tech disposable save; attempt to save designs for all vanilla and NSC hulls; inspect computer/behavior slots.,Only active load order proves the final section/component/computer graph.,S025;S027;S028;S030,Ship-design validity table and error.log scan.,P0
RV005,Starbase Extended slots and upgrades,"All-tech disposable save; inspect Starbase Extended levels, modules, buildings, orbital defenses with NSC3 and UIOD active.",UI conflicts and ship-size conflicts depend on active load order.,S041;S046;S047,Starbase upgrade/slot matrix.,P1
RV006,URP resource visibility,Verify Gigas/ESC/PD/Guilli strategic resources appear in topbar/resource UI after active load order.,URP support list and active resource keys can differ by stack.,S051;S052,Visible/missing resource table.,P1
RV007,PD/Guilli active modifiers,Parse active PD/Guilli source and sample debugtooltip planets for modifier/deposit IDs and effects.,The research answer is role logic; exact active IDs are local data.,S054;S056;S057;S059,Planet role valuation input table.,P1
RV008,Gigas crisis counter flow,"In disposable saves/source parse, verify current Katzen, Blokkat, Aeternum, and Compound event flags/projects/counterstructures.",External sources explain mechanics; exact current event chains require source/runtime.,S004;S005;S006;S007;S009;S012;S015,Crisis counter implementation map.,P1
RV009,AI observer proof,"Approved observer run with checkpoints at 2250/2300/2325/2350 measuring science, alloys, fleet, naval cap, megastructures, resources, techs.",AI behavior cannot be proven by public descriptions or static files.,S033;S038;S039,Observer benchmark packet.,P2
RV010,4.5 port branch,"Separate 4.5 beta source diff, CWTools, Irony, disposable launch after current parent mods update.",4.5 is active beta and local parent mod readiness changes quickly.,S083;S084,4.5 port risk report.,P2
